time,gFx,gFy,gFz,TgF
0.002184,-0.0944,0.2906,0.8642,0.917
0.002487,-0.0871,0.2965,0.8730,0.926
0.002706,-0.0783,0.2995,0.8920,0.944
0.002906,-0.0676,0.3024,0.9115,0.963
0.003087,-0.0573,0.3004,0.9228,0.972
0.003262,-0.0460,0.2975,0.9394,0.986
0.003440,-0.0382,0.2926,0.9551,1.000
0.005284,-0.0255,0.2848,0.9780,1.019
0.005735,-0.0157,0.2774,1.0205,1.058
0.008164,-0.0021,0.2711,1.0733,1.107
0.012356,0.0092,0.2623,1.1187,1.149
0.012693,0.0204,0.2555,1.1613,1.189
0.015698,0.0316,0.2481,1.1925,1.218
0.019478,0.0419,0.2408,1.2086,1.233
0.019860,0.0507,0.2330,1.2164,1.240
0.023139,0.0571,0.2276,1.2125,1.235
0.031717,0.0649,0.2188,1.2013,1.223
0.032063,0.0717,0.2135,1.1949,1.216
0.032265,0.0707,0.2081,1.1808,1.201
0.034846,0.0820,0.2120,1.1710,1.193
0.035171,0.0859,0.2076,1.1661,1.188
0.038588,0.0878,0.2110,1.1559,1.178
0.043631,0.0898,0.2144,1.1490,1.172
0.044085,0.0961,0.2120,1.1343,1.158
0.057024,0.0981,0.2042,1.1177,1.140
0.058011,0.0961,0.2149,1.0933,1.118
0.058514,0.0888,0.2198,1.0650,1.091
0.059036,0.0844,0.2271,1.0367,1.065
0.059508,0.0756,0.2418,1.0107,1.042
0.059985,0.0668,0.2545,0.9936,1.028
0.060434,0.0620,0.2667,0.9717,1.009
0.064281,0.0541,0.2823,0.9497,0.992
0.068940,0.0443,0.3048,0.9350,0.984
0.069318,0.0370,0.3175,0.9076,0.962
0.072482,0.0272,0.3327,0.8881,0.949
0.072756,0.0209,0.3473,0.8671,0.934
0.075471,0.0155,0.3625,0.8407,0.916
0.079665,0.0150,0.3693,0.8217,0.901
0.080052,0.0077,0.3717,0.7992,0.881
0.083343,0.0028,0.3825,0.7830,0.871
0.087797,-0.0060,0.3854,0.7669,0.858
0.088162,-0.0123,0.3854,0.7484,0.842
0.097323,-0.0187,0.3864,0.7308,0.827
0.099888,-0.0236,0.3796,0.7088,0.804
0.100273,-0.0265,0.3717,0.6941,0.788
0.100464,-0.0236,0.3581,0.6863,0.774
0.103567,-0.0221,0.3380,0.6731,0.754
0.104111,-0.0241,0.3205,0.6726,0.745
0.107786,-0.0084,0.3068,0.6814,0.747
0.111286,0.0013,0.2813,0.7019,0.756
0.111764,0.0184,0.2599,0.7337,0.779
