time,gFx,gFy,gFz,TgF
0.001650,-0.0847,0.3791,0.7435,0.839
0.002151,-0.0822,0.3849,0.7855,0.879
0.002496,-0.0812,0.3859,0.8211,0.911
0.002822,-0.0788,0.3864,0.8554,0.942
0.013837,-0.0769,0.3918,0.8915,0.977
0.014331,-0.0729,0.3927,0.9140,0.997
0.014676,-0.0720,0.3957,0.9419,1.024
0.014962,-0.0739,0.3947,0.9668,1.047
0.015259,-0.0681,0.3781,0.9975,1.069
0.016797,-0.0788,0.3639,1.0317,1.097
0.023936,-0.1184,0.4075,1.0792,1.160
0.024383,-0.1325,0.4294,1.0787,1.169
0.030643,-0.1286,0.4548,1.0415,1.144
0.031012,-0.1154,0.4558,0.9931,1.099
0.031245,-0.0915,0.4538,0.9814,1.085
0.031498,-0.0382,0.4216,1.0156,1.100
0.036400,-0.0402,0.4275,1.0489,1.133
0.036720,-0.0588,0.4392,1.0479,1.138
0.049009,-0.0593,0.4626,1.0195,1.121
0.049486,-0.0455,0.4729,1.0029,1.110
0.049742,-0.0245,0.4812,1.0307,1.138
0.049971,-0.0099,0.4846,1.1192,1.220
0.050349,0.0057,0.4807,1.2335,1.324
0.050598,0.0004,0.4631,1.3239,1.403
0.055323,-0.0079,0.4509,1.3645,1.437
0.059033,-0.0079,0.4304,1.3674,1.434
0.059703,-0.0133,0.4070,1.3425,1.403
0.062658,-0.0167,0.3800,1.3127,1.367
0.066726,-0.0265,0.3395,1.2800,1.325
0.067205,-0.0236,0.3449,1.2428,1.290
0.069598,-0.0187,0.3346,1.2184,1.264
0.073094,-0.0153,0.3175,1.1930,1.235
0.073647,-0.0114,0.3014,1.1578,1.196
0.077586,-0.0074,0.2843,1.1221,1.158
0.081501,0.0126,0.2657,1.0948,1.127
0.081987,0.0302,0.2491,1.0586,1.088
0.085900,0.0409,0.2359,1.0372,1.064
0.088743,0.0502,0.2281,1.0044,1.031
0.089264,0.0482,0.2198,0.9834,1.009
0.091343,0.0414,0.2203,0.9619,0.988
0.095961,0.0302,0.2188,0.9507,0.976
0.096455,0.0175,0.2110,0.9301,0.954
0.100265,0.0048,0.2105,0.9174,0.941
0.115668,0.0013,0.2071,0.9140,0.937
0.116249,-0.0001,0.2027,0.9125,0.935
0.116564,-0.0006,0.2056,0.9106,0.933
0.116831,0.0062,0.2105,0.9106,0.935
0.117089,0.0136,0.2154,0.9130,0.938
0.117383,0.0272,0.2262,0.9154,0.943
0.117832,0.0404,0.2330,0.9106,0.941
0.120937,0.0380,0.2257,0.8905,0.919
0.121507,0.0370,0.2452,0.8817,0.916
0.126222,0.0360,0.2486,0.8837,0.919
0.126663,0.0228,0.2530,0.8803,0.916
0.129659,0.0048,0.2501,0.8666,0.902
0.134311,-0.0153,0.2511,0.8622,0.898
0.134870,-0.0245,0.2408,0.8598,0.893
0.139933,-0.1081,0.1441,0.8162,0.836
0.141792,-0.1047,0.1441,0.8603,0.878
0.142282,-0.0920,0.1626,0.9149,0.934
0.146028,-0.0778,0.1748,0.9468,0.966
0.148661,-0.0583,0.1905,0.9658,0.986
0.150926,-0.0441,0.2003,0.9853,1.006
0.154035,-0.0568,0.2174,1.0137,1.038
0.159710,-0.0598,0.2476,1.0171,1.048
0.160198,-0.0666,0.2667,1.0171,1.054
0.160465,-0.0808,0.2774,1.0190,1.059
0.164097,-0.0895,0.2872,1.0161,1.060
0.164602,-0.0886,0.2931,1.0220,1.067
0.167066,-0.0744,0.2916,1.0367,1.079
0.171009,-0.0524,0.2882,1.0450,1.085
0.171733,-0.0236,0.2789,1.0538,1.090
0.174249,0.0194,0.2682,1.0645,1.098
0.177941,0.0546,0.2574,1.0567,1.089
0.178432,0.0981,0.2447,1.0455,1.078
0.182149,0.1269,0.2349,1.0278,1.062
0.187533,0.1440,0.2213,1.0254,1.059
0.188120,0.1557,0.2076,1.0210,1.053
0.189863,0.1621,0.1939,1.0210,1.052
0.193529,0.1719,0.1836,1.0093,1.040
0.193965,0.1851,0.1685,0.9853,1.017
0.196310,0.1880,0.1563,0.9565,0.987
0.201242,0.1851,0.1431,0.9174,0.947
0.201668,0.1753,0.1211,0.8788,0.904
0.215896,0.1567,0.0977,0.8397,0.860
0.216528,0.1303,0.0771,0.8119,0.826
0.216865,0.1113,0.0615,0.7957,0.806
0.217205,0.0874,0.0488,0.8021,0.808
0.217520,0.0605,0.0341,0.8094,0.812
0.217826,0.0355,0.0390,0.8197,0.821
0.219941,0.0160,0.0463,0.8354,0.837
0.223953,-0.0021,0.0605,0.8559,0.858
0.224305,-0.0206,0.0756,0.8822,0.886
0.229619,-0.0333,0.0986,0.9203,0.926
0.230831,-0.0402,0.1235,0.9668,0.975
0.231134,-0.0514,0.1485,0.9961,1.008
0.236803,-0.0656,0.1660,1.0200,1.036
0.240379,-0.0954,0.1621,1.0229,1.040
0.240911,-0.1203,0.1157,1.0317,1.045
0.241440,-0.1384,0.1201,1.0547,1.071
0.246185,-0.1511,0.1499,1.0156,1.038
0.246639,-0.1540,0.1641,0.9448,0.971
0.250221,-0.1584,0.1753,0.8920,0.923
0.255098,-0.1574,0.1949,0.8617,0.897
0.255928,-0.1682,0.2325,0.8329,0.881
0.258058,-0.1863,0.2769,0.8070,0.873
0.261649,-0.2014,0.3258,0.7713,0.861
0.262130,-0.2273,0.3688,0.7362,0.854
0.265593,-0.2337,0.4055,0.7005,0.842
0.269359,-0.1917,0.4172,0.6648,0.808
0.269848,-0.1609,0.4060,0.6536,0.786
0.272825,-0.1809,0.4338,0.6770,0.824
0.276516,-0.1868,0.4421,0.6824,0.834
0.277020,-0.1985,0.4563,0.6917,0.852
0.280207,-0.2073,0.4753,0.7117,0.881
0.284517,-0.2083,0.4958,0.7484,0.922
0.284997,-0.1834,0.4978,0.7928,0.954
0.287260,-0.1648,0.5032,0.8089,0.967
0.291608,-0.1340,0.4880,0.8261,0.969
0.292158,-0.0827,0.4636,0.8510,0.973
0.295146,-0.0416,0.4338,0.8930,0.994
0.298740,0.0009,0.4021,0.9443,1.026
0.299236,0.0306,0.3683,0.9985,1.065
0.302693,0.0526,0.3322,1.0215,1.075
0.316060,0.0668,0.3058,1.0396,1.086
0.316934,0.0732,0.2872,1.0494,1.090
0.317269,0.0771,0.2735,1.0567,1.094
0.317545,0.0698,0.2735,1.0699,1.106
0.317821,0.0556,0.2774,1.0704,1.107
0.318098,0.0404,0.2828,1.0655,1.103
0.321295,0.0223,0.2887,1.0611,1.100
0.322078,0.0009,0.3024,1.0611,1.103
0.325697,-0.0055,0.3019,1.0484,1.091
0.328934,-0.0099,0.3014,1.0430,1.086
0.329424,-0.0197,0.3004,1.0352,1.078
0.333250,-0.0294,0.3004,1.0391,1.082
0.339065,-0.0201,0.2872,1.0367,1.076
0.342701,-0.0206,0.2730,1.0337,1.069
0.343180,-0.0421,0.2716,1.0322,1.068
0.343595,-0.0485,0.2657,1.0327,1.067
0.343908,-0.0363,0.2481,1.0317,1.062
0.347690,-0.0333,0.2223,1.0249,1.049
0.350468,0.0111,0.1651,0.9980,1.012
0.350832,-0.0070,0.1626,1.0171,1.030
0.355223,-0.0182,0.1641,0.9868,1.001
0.360088,-0.0250,0.1626,0.9585,0.972
0.360576,-0.0348,0.1660,0.9428,0.958
0.363772,-0.0475,0.1719,0.9267,0.944
0.365718,-0.0578,0.1782,0.9106,0.930
0.366131,-0.0646,0.1768,0.8959,0.915
0.369541,-0.0808,0.1910,0.8905,0.914
0.374775,-0.0881,0.1978,0.8842,0.910
0.375265,-0.0983,0.2042,0.8769,0.906
0.382055,-0.1027,0.2115,0.8710,0.902
0.382533,-0.1115,0.2247,0.8681,0.904
0.382904,-0.1154,0.2354,0.8627,0.902
0.397759,-0.1164,0.2418,0.8588,0.900
0.398474,-0.1193,0.2535,0.8524,0.897
0.398814,-0.1262,0.2638,0.8529,0.902
0.399123,-0.1242,0.2662,0.8427,0.892
0.399630,-0.1291,0.2696,0.8383,0.890
0.399928,-0.1335,0.2784,0.8275,0.883
0.401860,-0.1403,0.2838,0.7977,0.858
0.402360,-0.1525,0.2828,0.7127,0.782
0.405552,-0.1374,0.2765,0.6121,0.686
0.406156,-0.1047,0.2603,0.5324,0.602
0.410839,-0.0568,0.2389,0.5837,0.633
0.413106,-0.0280,0.2169,0.7156,0.748
0.413746,-0.0089,0.2120,0.8075,0.835
0.416716,-0.0099,0.2076,0.8471,0.872
0.421056,-0.0143,0.2198,0.8402,0.869
0.421517,-0.0363,0.2301,0.8045,0.838
0.428230,-0.0705,0.2369,0.7742,0.813
0.428650,-0.1609,0.2032,0.7230,0.768
0.428911,-0.1721,0.2100,0.7371,0.786
0.431296,-0.1785,0.2296,0.7747,0.828
0.437414,-0.1756,0.2447,0.7786,0.835
0.438275,-0.1687,0.2462,0.7742,0.830
0.443283,-0.1574,0.2530,0.7821,0.837
0.444027,-0.1345,0.2525,0.7835,0.834
0.444345,-0.1018,0.2623,0.7874,0.836
0.447652,-0.0656,0.2813,0.7801,0.832
0.450539,-0.0275,0.2946,0.7640,0.819
0.451022,0.0033,0.3034,0.7567,0.815
0.458519,0.0355,0.3141,0.7479,0.812
0.462726,0.0683,0.3214,0.7337,0.804
0.463247,0.0888,0.3405,0.7254,0.806
0.463738,0.1074,0.3390,0.7156,0.799
0.466424,0.1083,0.3283,0.7171,0.796
0.466852,0.1030,0.3151,0.7186,0.791
0.470790,0.0913,0.2965,0.7181,0.782
0.473748,0.0869,0.2848,0.7122,0.772
0.474216,0.0722,0.2647,0.7102,0.761
0.477450,0.0556,0.2540,0.7083,0.754
0.481664,0.0389,0.2364,0.7009,0.741
0.482079,0.0267,0.2218,0.7068,0.741
0.484757,0.0214,0.2037,0.7141,0.743
0.491309,0.0179,0.1895,0.7196,0.744
0.491996,0.0277,0.1773,0.7244,0.746
0.492329,0.0482,0.1616,0.7308,0.750
0.496743,0.0615,0.1436,0.7225,0.739
0.497326,0.0302,0.0781,0.7073,0.712
0.499308,0.0233,0.0380,0.6902,0.692
0.509966,0.0756,0.0541,0.7063,0.712
