time,gFx,gFy,gFz,TgF
0.002414,-0.0710,0.3434,0.8935,0.960
0.002715,-0.0573,0.3444,0.9331,0.996
0.002913,-0.0436,0.3420,0.9658,1.025
0.003099,-0.0319,0.3380,1.0039,1.060
0.005176,-0.0192,0.3361,1.0293,1.083
0.005452,-0.0026,0.3254,1.0552,1.104
0.005623,0.0092,0.3175,1.0757,1.122
0.006687,0.0179,0.3097,1.0894,1.133
0.006985,0.0302,0.3039,1.1031,1.145
0.009463,0.0365,0.2946,1.1158,1.155
0.020026,0.0429,0.2872,1.1338,1.170
0.020455,0.0556,0.2818,1.1529,1.188
0.020657,0.0581,0.2735,1.1671,1.200
0.020812,0.0576,0.2711,1.1822,1.214
0.020985,0.0668,0.2667,1.1876,1.219
0.024683,0.0673,0.2589,1.1901,1.220
0.028191,0.0683,0.2584,1.1896,1.219
0.030512,0.0742,0.2564,1.1783,1.208
0.031998,0.0747,0.2511,1.1700,1.199
0.036897,0.0781,0.2525,1.1520,1.182
0.037273,0.0727,0.2486,1.1363,1.165
0.041190,0.0756,0.2486,1.1202,1.150
0.043798,0.0664,0.2491,1.0992,1.129
0.044068,0.0644,0.2457,1.0777,1.107
0.048097,0.0571,0.2379,1.0577,1.086
0.051521,0.0526,0.2457,1.0406,1.070
0.051892,0.0448,0.2476,1.0195,1.050
0.055751,0.0311,0.2545,1.0019,1.034
0.058248,0.0238,0.2613,0.9873,1.022
0.058523,0.0140,0.2667,0.9707,1.007
0.063077,0.0096,0.2725,0.9497,0.988
0.067639,0.0023,0.2750,0.9331,0.973
0.068132,0.0043,0.2818,0.9262,0.968
0.071420,0.0023,0.2828,0.9179,0.960
0.074777,0.0028,0.2882,0.9081,0.953
0.075248,0.0013,0.2887,0.8983,0.944
0.078295,-0.0001,0.2867,0.8935,0.938
0.082095,0.0057,0.2818,0.8900,0.934
0.082662,0.0043,0.2887,0.8866,0.932
0.085605,-0.0006,0.2906,0.8871,0.934
0.089559,-0.0016,0.2906,0.8773,0.924
0.090142,-0.0021,0.2941,0.8744,0.923
0.092878,-0.0050,0.2951,0.8734,0.922
0.098584,-0.0070,0.2936,0.8734,0.921
0.099153,-0.0035,0.2995,0.8783,0.928
0.099638,-0.0045,0.3034,0.8739,0.925
0.104934,-0.0055,0.3034,0.8764,0.927
0.105389,-0.0055,0.3078,0.8764,0.929
0.108163,-0.0060,0.3092,0.8773,0.930
0.111824,-0.0172,0.2936,0.8700,0.918
0.112545,-0.0031,0.3078,0.8827,0.935
