time,gFx,gFy,gFz,TgF
0.004062,-0.0070,0.2423,1.0234,1.052
0.004472,-0.0143,0.2340,1.0396,1.066
0.004887,-0.0201,0.2335,1.0582,1.084
0.005137,-0.0231,0.2266,1.0792,1.103
0.005359,-0.0245,0.2227,1.0977,1.120
0.005586,-0.0245,0.2183,1.1128,1.134
0.005846,-0.0265,0.2149,1.1280,1.149
0.006084,-0.0319,0.2115,1.1304,1.150
0.006318,-0.0260,0.2105,1.1363,1.156
0.006553,-0.0245,0.2105,1.1382,1.158
0.006804,-0.0201,0.2071,1.1407,1.160
0.007045,-0.0162,0.2066,1.1358,1.155
0.014493,-0.0138,0.2056,1.1343,1.153
0.014822,-0.0079,0.2052,1.1304,1.149
0.015017,-0.0001,0.2003,1.1265,1.144
0.023059,0.0077,0.2008,1.1221,1.140
0.023388,0.0155,0.2008,1.1148,1.133
0.023553,0.0243,0.2086,1.1094,1.129
0.025599,0.0297,0.2056,1.0958,1.115
0.025890,0.0345,0.2037,1.0811,1.101
0.029437,0.0326,0.1964,1.0655,1.084
0.038987,0.0380,0.1993,1.0440,1.064
0.039396,0.0380,0.1998,1.0220,1.042
0.039583,0.0326,0.2042,1.0073,1.028
0.041279,0.0297,0.2066,0.9829,1.005
0.041567,0.0287,0.2125,0.9638,0.987
0.045354,0.0228,0.2183,0.9463,0.971
0.048463,0.0150,0.2242,0.9306,0.957
0.048886,0.0057,0.2330,0.9218,0.951
0.053906,-0.0040,0.2472,0.9125,0.945
0.055720,-0.0099,0.2564,0.9159,0.951
0.056143,-0.0089,0.2696,0.9125,0.952
0.060901,-0.0226,0.2647,0.9262,0.964
0.064352,-0.0328,0.2618,0.9526,0.988
0.065038,-0.0397,0.2574,0.9746,1.009
0.068450,-0.0465,0.2559,1.0014,1.035
0.071515,-0.0529,0.2491,1.0161,1.048
0.071859,-0.0559,0.2506,1.0312,1.063
0.075026,-0.0480,0.2486,1.0420,1.072
0.078729,-0.0431,0.2349,1.0591,1.086
0.079059,-0.0275,0.2262,1.0782,1.102
0.083610,-0.0172,0.2105,1.0928,1.113
0.085944,-0.0153,0.1949,1.1060,1.123
0.086292,-0.0104,0.1826,1.1109,1.126
0.089357,-0.0099,0.1738,1.1143,1.128
0.093002,-0.0084,0.1690,1.1148,1.128
0.093408,0.0004,0.1641,1.1177,1.130
0.097510,0.0082,0.1587,1.1177,1.129
0.102203,0.0194,0.1553,1.1143,1.125
0.102724,0.0287,0.1528,1.0992,1.110
0.106433,0.0345,0.1494,1.0870,1.098
0.110097,0.0389,0.1455,1.0708,1.081
0.110540,0.0355,0.1079,1.0503,1.056
0.112343,0.0429,0.1157,1.0621,1.069
0.116155,0.0272,0.1299,1.0430,1.051
0.116851,0.0194,0.1421,1.0088,1.019
0.126790,0.0238,0.1528,0.9678,0.980
0.127319,0.0306,0.1699,0.9492,0.965
0.127624,0.0404,0.1792,0.9424,0.960
0.127885,0.0458,0.1910,0.9428,0.963
0.131595,0.0472,0.1998,0.9360,0.958
0.138021,0.0468,0.2096,0.9360,0.960
0.138453,0.0468,0.2169,0.9448,0.970
