time,gFx,gFy,gFz,TgF
0.046085,-0.1149,0.3214,0.6897,0.770
0.046535,-0.1291,0.3151,0.6834,0.763
0.046862,-0.1472,0.3268,0.6951,0.782
0.047251,-0.1521,0.3424,0.7102,0.803
0.047605,-0.1472,0.3527,0.7240,0.819
0.047896,-0.1413,0.3703,0.7498,0.848
0.048162,-0.1330,0.3835,0.7723,0.872
0.048441,-0.1252,0.3903,0.7977,0.897
0.048718,-0.1154,0.3996,0.8310,0.929
0.049001,-0.1086,0.3987,0.8578,0.952
0.049290,-0.0993,0.3957,0.8861,0.976
0.049566,-0.1086,0.3678,0.9145,0.992
0.049843,-0.1218,0.3444,0.9458,1.014
0.050101,-0.1286,0.3444,0.9731,1.040
0.050357,-0.1184,0.3439,0.9917,1.056
0.050639,-0.0925,0.3439,1.0039,1.065
0.050923,-0.0646,0.3454,1.0244,1.083
0.051306,-0.0372,0.3507,1.0616,1.119
0.051665,-0.0231,0.3590,1.1104,1.167
0.051959,-0.0104,0.3620,1.1857,1.240
0.052235,-0.0040,0.3649,1.2399,1.292
0.052500,0.0033,0.3659,1.2770,1.328
0.052774,0.0062,0.3566,1.3024,1.350
0.053047,0.0106,0.3527,1.3567,1.402
0.057771,0.0092,0.3424,1.3176,1.361
0.058354,0.0013,0.3302,1.2917,1.333
0.058662,-0.0094,0.3293,1.2629,1.305
0.065258,-0.0109,0.3263,1.2360,1.278
0.065685,-0.0109,0.3244,1.2067,1.250
0.065964,-0.0153,0.3322,1.1803,1.226
0.069168,-0.0172,0.3503,1.1627,1.214
0.069625,-0.0001,0.3288,1.1368,1.183
0.073264,-0.0050,0.3097,1.0992,1.142
0.076891,-0.0153,0.3102,1.0767,1.121
0.077381,-0.0299,0.2946,1.0455,1.087
0.090061,-0.0470,0.2779,0.9756,1.015
0.090617,-0.0593,0.2623,0.9130,0.952
0.090925,-0.0578,0.2520,0.8725,0.910
0.091365,-0.0519,0.2564,0.8422,0.882
0.091672,-0.0578,0.2730,0.8319,0.877
0.091954,-0.0539,0.2520,0.8138,0.854
0.095904,-0.0529,0.2384,0.8011,0.837
0.103309,-0.0529,0.2296,0.7923,0.827
0.103787,-0.0583,0.2262,0.7865,0.820
0.104123,-0.0563,0.2203,0.7894,0.821
0.107260,-0.0588,0.2198,0.8016,0.833
0.107815,-0.0739,0.2183,0.8065,0.839
0.109930,-0.0793,0.2135,0.8177,0.849
0.114105,-0.0710,0.2115,0.8383,0.867
0.114684,-0.0617,0.2140,0.8734,0.901
0.118522,-0.0534,0.2120,0.9052,0.931
0.121268,-0.0519,0.2081,0.9380,0.962
0.121645,-0.0416,0.2042,0.9717,0.994
0.125792,-0.0284,0.2052,1.0132,1.034
0.129046,-0.0143,0.1939,1.0596,1.077
0.129409,0.0121,0.1826,1.1026,1.118
0.133031,0.0419,0.1651,1.1451,1.158
0.137241,0.0375,0.1646,1.1749,1.187
0.137545,0.0272,0.1553,1.1964,1.207
0.141320,0.0209,0.1514,1.2150,1.225
0.144208,0.0126,0.1558,1.2233,1.233
0.144625,0.0136,0.1524,1.2247,1.234
