time,gFx,gFy,gFz,TgF
0.001589,-0.0842,0.3527,0.7816,0.862
0.002067,-0.0705,0.3600,0.7806,0.863
0.002406,-0.0514,0.3649,0.7992,0.880
0.002698,-0.0358,0.3659,0.8162,0.895
0.006938,-0.0162,0.3669,0.8378,0.915
0.007406,-0.0006,0.3586,0.8632,0.935
0.007700,0.0204,0.3547,0.8822,0.951
0.013044,0.0394,0.3498,0.9047,0.971
0.013592,0.0566,0.3454,0.9228,0.987
0.016221,0.0722,0.3415,0.9433,1.006
0.019450,0.0825,0.3327,0.9590,1.018
0.019900,0.0893,0.3249,0.9717,1.028
0.032336,0.0991,0.3151,0.9917,1.045
0.032888,0.1000,0.3058,1.0141,1.064
0.033303,0.0971,0.2941,1.0327,1.078
0.033668,0.0937,0.2901,1.0489,1.092
0.034249,0.0878,0.2887,1.0645,1.106
0.034560,0.0825,0.2774,1.0777,1.116
0.039231,0.0771,0.2755,1.0840,1.121
0.043541,0.0751,0.2696,1.0928,1.128
0.043994,0.0712,0.2696,1.1016,1.136
0.045641,0.0634,0.2672,1.1041,1.138
0.050266,0.0521,0.2628,1.1041,1.136
0.050680,0.0404,0.2633,1.1041,1.136
0.053074,0.0311,0.2599,1.1006,1.131
0.066023,0.0248,0.2613,1.1031,1.134
0.067296,0.0165,0.2623,1.1060,1.137
0.068047,0.0179,0.2711,1.1085,1.141
0.068686,0.0189,0.2750,1.1089,1.143
0.069721,0.0121,0.2769,1.1055,1.140
0.070348,0.0028,0.2769,1.0972,1.132
0.071874,-0.0060,0.2760,1.0835,1.118
0.073280,-0.0099,0.2765,1.0694,1.105
0.089910,-0.0026,0.2750,1.0582,1.093
0.090598,0.0101,0.2677,1.0425,1.076
0.090942,0.0214,0.2672,1.0229,1.057
0.091282,0.0267,0.2691,1.0049,1.041
0.091613,0.0360,0.2735,0.9853,1.023
0.092054,0.0331,0.2730,0.9731,1.011
0.092402,0.0253,0.2721,0.9648,1.003
0.099806,-0.0026,0.2628,0.9419,0.978
0.100462,0.0038,0.2682,0.9453,0.983
0.100867,0.0082,0.2667,0.9380,0.975
0.102210,0.0150,0.2672,0.9262,0.964
0.102839,0.0243,0.2711,0.9110,0.951
0.105464,0.0282,0.2735,0.9013,0.942
0.109966,0.0375,0.2740,0.8871,0.929
0.110295,0.0419,0.2721,0.8905,0.932
0.113706,0.0375,0.2730,0.8852,0.927
0.118811,0.0463,0.2706,0.8876,0.929
0.121236,0.0497,0.2682,0.8983,0.939
0.121773,0.0600,0.2623,0.9081,0.947
0.125225,0.0649,0.2535,0.9135,0.950
0.125700,0.0693,0.2398,0.9257,0.959
0.128825,0.0688,0.2252,0.9365,0.966
0.132674,0.0678,0.2252,0.9536,0.982
0.133315,0.0698,0.2164,0.9614,0.988
0.136129,0.0664,0.2066,0.9678,0.992
0.140817,0.0683,0.2008,0.9795,1.002
0.141525,0.0703,0.1969,0.9917,1.013
0.143353,0.0693,0.1920,1.0005,1.021
0.148405,0.0717,0.1973,1.0171,1.039
0.148834,0.0732,0.2042,1.0215,1.044
0.151146,0.0712,0.2047,1.0224,1.045
0.164397,0.0698,0.2125,1.0337,1.058
0.165038,0.0659,0.2105,1.0391,1.062
0.165391,0.0629,0.2183,1.0469,1.071
0.165744,0.0659,0.2232,1.0567,1.082
0.166027,0.0595,0.2291,1.0660,1.092
0.166265,0.0624,0.2340,1.0806,1.107
0.170306,0.0639,0.2340,1.0821,1.109
0.170634,0.0634,0.2315,1.0860,1.112
0.175055,0.0707,0.2335,1.0826,1.110
0.177142,0.0834,0.2379,1.0840,1.113
0.177436,0.0937,0.2447,1.0796,1.111
0.184574,0.1000,0.2447,1.0762,1.108
0.185134,0.1059,0.2413,1.0689,1.101
0.185465,0.1108,0.2374,1.0645,1.096
0.192184,0.1162,0.2389,1.0567,1.090
0.192759,0.1171,0.2384,1.0489,1.082
0.193222,0.1127,0.2359,1.0362,1.069
0.199957,0.1123,0.2281,1.0234,1.055
0.200422,0.1064,0.2276,1.0151,1.046
0.200694,0.1069,0.2242,1.0058,1.036
0.210843,0.0986,0.2247,0.9980,1.028
0.211411,0.0898,0.2218,0.9863,1.015
0.211736,0.0820,0.2218,0.9800,1.008
0.212016,0.0717,0.2149,0.9634,0.990
0.216042,0.0620,0.2188,0.9531,0.980
0.216484,0.0541,0.2159,0.9428,0.969
0.218742,0.0487,0.2135,0.9287,0.954
0.231429,0.0331,0.2115,0.9208,0.945
0.231922,0.0248,0.2086,0.9179,0.942
0.232239,0.0155,0.2140,0.9179,0.943
0.232540,0.0096,0.2071,0.9130,0.936
0.232837,0.0023,0.2047,0.9135,0.936
0.233296,-0.0021,0.2003,0.9096,0.931
0.247152,-0.0089,0.1964,0.9013,0.922
0.247718,-0.0089,0.1978,0.9047,0.926
0.248030,-0.0104,0.1944,0.9027,0.923
0.248333,-0.0026,0.1910,0.8998,0.920
0.248608,-0.0006,0.1973,0.9052,0.926
0.249106,0.0033,0.1895,0.8866,0.907
0.253950,0.0013,0.1861,0.8827,0.902
0.254446,0.0018,0.1812,0.8817,0.900
0.255903,0.0028,0.1782,0.8759,0.894
0.261628,-0.0026,0.1778,0.8637,0.882
0.262098,-0.0309,0.1553,0.8451,0.860
0.263634,-0.0382,0.1616,0.8099,0.827
0.270978,-0.0211,0.1597,0.8466,0.862
0.271499,-0.0089,0.1587,0.8603,0.875
0.271800,0.0096,0.1577,0.8637,0.878
0.283434,0.0272,0.1592,0.8627,0.878
0.283811,0.0438,0.1660,0.8393,0.857
0.284047,0.0615,0.1704,0.8329,0.852
0.284251,0.0795,0.1738,0.8285,0.850
0.284436,0.0937,0.1724,0.8280,0.851
0.286328,0.1035,0.1738,0.8222,0.847
0.290464,0.1088,0.1651,0.8202,0.844
0.295445,0.1181,0.1499,0.8310,0.853
0.295729,0.1201,0.1309,0.8427,0.861
0.296291,0.1235,0.1192,0.8647,0.882
0.296547,0.1289,0.1060,0.8871,0.903
0.301361,0.1318,0.1030,0.9110,0.926
0.304360,0.1289,0.0928,0.9301,0.944
0.304815,0.1235,0.0801,0.9546,0.966
0.308269,0.1201,0.0732,0.9673,0.977
0.311229,0.1083,0.0629,0.9775,0.986
0.311488,0.0952,0.0600,0.9824,0.989
0.315660,0.0913,0.0556,0.9731,0.979
0.319362,0.0820,0.0473,0.9658,0.970
0.319781,0.0771,0.0473,0.9629,0.967
0.323402,0.0644,0.0224,0.9438,0.946
0.328140,0.0717,0.0121,0.9424,0.945
0.328487,0.0766,0.0078,0.9511,0.954
0.330400,0.0795,-0.0001,0.9546,0.958
0.334236,0.0849,-0.0035,0.9541,0.958
0.334641,0.0903,-0.0128,0.9541,0.958
0.338919,0.1044,-0.0211,0.9590,0.965
0.343822,0.1123,-0.0245,0.9570,0.964
0.344182,0.1167,-0.0225,0.9448,0.952
0.345828,0.1152,-0.0240,0.9345,0.942
0.349299,0.1181,-0.0152,0.9237,0.931
0.349603,0.0942,0.0371,0.9159,0.922
0.355558,0.0952,0.0659,0.9242,0.931
0.356855,0.0878,0.0473,0.8842,0.890
0.357939,0.0747,0.0366,0.8588,0.863
0.360563,0.0566,0.0317,0.8393,0.842
0.364263,0.0487,0.0180,0.8305,0.832
0.364549,0.0438,0.0004,0.8251,0.826
0.368280,0.0649,-0.0215,0.8153,0.818
0.371452,0.0805,-0.0353,0.8162,0.821
