time,gFx,gFy,gFz,TgF
0.001223,-0.1306,0.3219,0.7728,0.847
0.001498,-0.1188,0.3205,0.7855,0.857
0.001675,-0.1125,0.3205,0.7952,0.865
0.010122,-0.0993,0.3234,0.8187,0.886
0.010516,-0.0871,0.3234,0.8451,0.909
0.010734,-0.0710,0.3229,0.8715,0.932
0.010901,-0.0583,0.3166,0.8959,0.952
0.012640,-0.0470,0.3146,0.9233,0.977
0.012971,-0.0348,0.3141,0.9521,1.003
0.016854,-0.0265,0.3131,0.9868,1.036
0.028329,-0.0167,0.3131,1.0127,1.060
0.029012,-0.0084,0.3112,1.0332,1.079
0.029380,-0.0006,0.3102,1.0528,1.098
0.029659,0.0033,0.3083,1.0655,1.109
0.029929,0.0121,0.3092,1.0718,1.116
0.032577,0.0140,0.3063,1.0826,1.125
0.037949,0.0155,0.3146,1.0879,1.133
0.038536,0.0179,0.3136,1.0894,1.134
0.038861,0.0140,0.3151,1.0845,1.129
0.044341,0.0052,0.3146,1.0801,1.125
0.044966,-0.0060,0.3229,1.0743,1.122
0.047211,-0.0167,0.3278,1.0655,1.115
0.049994,-0.0289,0.3273,1.0547,1.105
0.050308,-0.0436,0.3278,1.0499,1.101
0.056202,-0.0568,0.3283,1.0435,1.095
0.058194,-0.0695,0.3258,1.0376,1.090
0.058588,-0.0783,0.3200,1.0332,1.084
0.064046,-0.0964,0.3288,1.0249,1.081
0.065975,-0.1071,0.3127,1.0024,1.055
0.066337,-0.1125,0.3048,0.9941,1.046
0.079970,-0.1101,0.2931,0.9936,1.042
0.080652,-0.0988,0.2833,0.9839,1.029
0.081011,-0.0959,0.2730,0.9785,1.020
0.081359,-0.0978,0.2677,0.9634,1.005
0.081741,-0.0939,0.2642,0.9546,0.995
0.082016,-0.0944,0.2535,0.9424,0.980
0.086202,-0.0910,0.2530,0.9277,0.966
0.087473,-0.0866,0.2476,0.9208,0.957
0.087935,-0.0803,0.2633,0.9140,0.955
0.092229,-0.0744,0.2506,0.9047,0.942
