time,gFx,gFy,gFz,TgF
0.002773,-0.0314,1.1120,-0.0642,1.114
0.002981,-0.0367,1.1125,-0.0584,1.115
0.003108,-0.0328,1.1110,-0.0510,1.113
0.003209,-0.0280,1.1120,-0.0466,1.113
0.003322,-0.0284,1.1076,-0.0374,1.109
0.003432,-0.0280,1.1037,-0.0310,1.104
0.003539,-0.0241,1.1027,-0.0246,1.103
0.003652,-0.0172,1.1003,-0.0173,1.101
0.003754,-0.0143,1.1003,-0.0134,1.100
0.005461,-0.0040,1.0978,-0.0051,1.098
0.005728,-0.0050,1.0973,-0.0031,1.097
0.015848,-0.0118,1.0998,0.0032,1.100
0.016078,-0.0050,1.0988,0.0091,1.099
0.016248,-0.0001,1.1032,0.0145,1.103
0.024646,-0.0065,1.1081,0.0145,1.108
0.024919,0.0057,1.1047,0.0384,1.105
0.025073,0.0067,1.1056,0.0355,1.106
0.025213,0.0082,1.1095,0.0379,1.110
0.031972,0.0087,1.1095,0.0330,1.110
0.032502,0.0082,1.1154,0.0316,1.116
0.032719,0.0067,1.1110,0.0291,1.111
0.035381,0.0136,1.1135,0.0218,1.114
0.035597,0.0238,1.1183,0.0198,1.119
0.039390,0.0316,1.1159,0.0169,1.116
0.044052,0.0228,1.1164,0.0057,1.117
0.044724,0.0209,1.1188,0.0027,1.119
0.047765,0.0253,1.1232,0.0071,1.124
0.052587,0.0287,1.1247,0.0003,1.125
0.052908,0.0326,1.1257,-0.0016,1.126
0.056367,0.0360,1.1237,-0.0021,1.124
0.059769,0.0448,1.1232,-0.0031,1.124
0.060115,0.0458,1.1227,-0.0036,1.124
0.063173,0.0438,1.1257,-0.0085,1.127
0.066904,0.0443,1.1271,-0.0139,1.128
0.067434,0.0385,1.1305,-0.0261,1.132
0.071815,0.0399,1.1325,-0.0178,1.133
0.075802,0.0521,1.1320,-0.0065,1.133
0.076404,0.0477,1.1286,-0.0007,1.130
0.080103,0.0458,1.1271,-0.0002,1.128
0.083786,0.0537,1.1208,0.0042,1.122
0.084412,0.0581,1.1193,0.0120,1.121
0.084806,0.0502,1.1110,0.0194,1.112
0.089544,0.0502,1.1047,0.0316,1.106
0.090034,0.0487,1.0949,0.0462,1.097
0.093010,0.0448,1.0915,0.0662,1.094
0.096746,0.0443,1.0881,0.0795,1.092
0.097289,0.0541,1.0729,0.0892,1.078
0.099446,0.0629,1.0627,0.0888,1.068
0.104401,0.0668,1.0485,0.0853,1.054
0.104910,0.0683,1.0426,0.1010,1.050
0.107418,0.0703,1.0402,0.1034,1.048
0.110956,0.0688,1.0534,0.1078,1.061
0.111443,0.0629,1.0509,0.1107,1.059
0.120567,0.0688,1.0485,0.1210,1.058
0.121174,0.0659,1.0446,0.1244,1.054
0.121471,0.0698,1.0490,0.1190,1.058
0.121987,0.0629,1.0509,0.1102,1.059
0.127393,0.0610,1.0607,0.1039,1.068
0.127873,0.0639,1.0617,0.1063,1.069
0.140650,0.0712,1.0705,0.1078,1.078
0.141277,0.0839,1.0749,0.1117,1.084
0.141601,0.0913,1.0671,0.1317,1.079
0.141881,0.0859,1.0690,0.1278,1.080
0.142146,0.0590,1.0715,0.1019,1.078
0.142438,0.0639,1.0671,0.1107,1.075
0.146592,0.0673,1.0671,0.1542,1.080
0.151720,0.0316,1.0729,0.0795,1.076
0.152390,0.0389,1.0778,0.0760,1.081
0.152785,0.0302,1.0949,0.0990,1.100
0.158321,0.0189,1.1066,0.1073,1.112
0.158674,0.0175,1.1227,0.1347,1.131
0.164517,0.0155,1.1310,0.1635,1.143
0.164990,0.0150,1.1330,0.1664,1.145
0.167396,0.0136,1.1349,0.1591,1.146
0.167755,0.0126,1.1330,0.1561,1.144
0.171746,0.0145,1.1354,0.1552,1.146
0.172081,0.0228,1.1247,0.1620,1.137
0.174580,0.0238,1.1271,0.1684,1.140
0.180599,0.0277,1.1208,0.1635,1.133
0.181007,0.0438,1.1130,0.1684,1.126
0.182056,0.0737,1.0925,0.2275,1.118
0.188364,0.0131,1.0998,0.0956,1.104
0.188878,0.0292,1.1003,0.0731,1.103
0.189338,0.0219,1.0993,0.0736,1.102
0.194507,0.0253,1.1052,0.0760,1.108
0.195051,0.0414,1.1032,0.1347,1.112
0.198331,0.0541,1.0959,0.1610,1.109
0.202578,0.0659,1.0886,0.1561,1.102
0.203061,0.0688,1.0739,0.1503,1.087
0.207025,0.0732,1.0539,0.1566,1.068
0.207445,0.0781,1.0387,0.1630,1.054
0.211990,0.0844,1.0274,0.1659,1.044
0.215173,0.0874,1.0182,0.1737,1.037
0.215774,0.0981,1.0089,0.1732,1.028
0.218139,0.1098,0.9977,0.1796,1.020
0.222639,0.1196,0.9874,0.1776,1.010
0.223111,0.1269,0.9840,0.1776,1.008
0.225052,0.1284,0.9820,0.1757,1.006
0.236884,0.1298,0.9762,0.1752,1.000
0.237453,0.1376,0.9713,0.1771,0.997
0.237791,0.1440,0.9645,0.1835,0.992
0.238064,0.1499,0.9620,0.1835,0.991
0.238335,0.1459,0.9591,0.1815,0.987
0.239371,0.1445,0.9522,0.1796,0.980
0.243600,0.1425,0.9522,0.1757,0.979
0.244085,0.1420,0.9503,0.1718,0.976
0.248272,0.1484,0.9454,0.1727,0.972
0.252400,0.1513,0.9469,0.1757,0.975
0.252947,0.1533,0.9483,0.1796,0.977
0.254716,0.1591,0.9444,0.1860,0.976
0.260383,0.1616,0.9483,0.2075,0.984
0.260929,0.1655,0.9464,0.2172,0.985
0.264723,0.1591,0.9435,0.2041,0.978
0.266929,0.1562,0.9430,0.1997,0.976
0.267433,0.1660,0.9361,0.2119,0.974
0.270505,0.1792,0.9298,0.2402,0.977
0.274482,0.1973,0.9224,0.2881,0.986
0.274984,0.1856,0.9195,0.2802,0.979
0.278449,0.1586,0.9229,0.2041,0.958
0.282428,0.1562,0.9170,0.2099,0.954
0.282888,0.1528,0.9156,0.1967,0.949
0.285445,0.1641,0.9146,0.2075,0.952
0.289521,0.1802,0.9077,0.2431,0.957
0.290019,0.1895,0.9073,0.2573,0.962
0.295293,0.1870,0.8975,0.2514,0.951
0.296112,0.1904,0.8824,0.2177,0.929
0.296551,0.1953,0.8570,0.2011,0.902
0.300715,0.1944,0.8217,0.1669,0.861
0.305433,0.1919,0.7768,0.1415,0.813
0.305963,0.2173,0.7548,0.2378,0.821
0.311313,0.2090,0.7783,0.3921,0.896
0.311822,0.2114,0.8115,0.5070,0.980
0.324777,0.1660,0.8086,0.5158,0.973
0.325951,0.1494,0.8325,0.5168,0.991
0.326298,0.2622,0.8609,0.6174,1.091
0.326623,0.2652,0.8877,0.4913,1.049
0.326846,0.2100,0.8975,0.2856,0.965
0.327104,0.1826,0.9053,0.1557,0.937
0.331323,0.2056,0.9068,0.0589,0.932
0.332615,0.2383,0.8994,-0.0896,0.935
0.333162,0.3092,0.9009,0.1327,0.962
0.336432,0.3468,0.9347,0.3174,1.046
0.336994,0.2813,0.9762,0.2241,1.040
0.339860,0.2490,0.9713,0.1919,1.021
0.361069,0.2935,0.9474,0.2558,1.024
0.362270,0.3796,0.9077,0.4225,1.071
0.362745,0.2975,0.9126,0.2343,0.988
0.363196,0.2373,0.9248,0.1312,0.964
0.363606,0.2080,0.9395,0.2358,0.991
0.363999,0.2632,0.9498,0.3316,1.040
0.364673,0.2838,0.9688,0.3711,1.076
0.365052,0.2828,0.9767,0.3472,1.074
0.365384,0.2564,0.9845,0.2832,1.056
0.365702,0.2261,0.9894,0.2070,1.036
0.366364,0.2232,0.9679,0.2041,1.014
0.370243,0.2471,0.9303,0.2900,1.005
0.370699,0.2642,0.8994,0.3389,0.997
0.374599,0.2632,0.8921,0.3560,0.996
0.379779,0.2617,0.8999,0.3570,1.003
0.381674,0.2662,0.9180,0.3545,1.019
0.382082,0.2852,0.9243,0.3697,1.036
0.385929,0.2848,0.9258,0.3667,1.036
0.386697,0.2794,0.9121,0.3409,1.013
0.389997,0.2686,0.8877,0.2861,0.971
0.397422,0.2617,0.8501,0.2514,0.924
0.398279,0.2383,0.8022,0.2563,0.875
0.398620,0.2031,0.7651,0.3194,0.854
0.402738,0.1572,0.7314,0.4137,0.855
0.403231,0.1108,0.7084,0.4772,0.861
0.406829,0.0854,0.6996,0.5036,0.866
0.409812,0.1308,0.6962,0.5578,0.902
0.410150,0.2202,0.6859,0.6477,0.969
0.412920,0.1773,0.7387,0.4855,0.902
0.416658,0.1626,0.8027,0.3135,0.877
0.417061,0.1313,0.8867,0.1835,0.915
0.419185,0.1337,0.9112,0.1771,0.938
0.424464,0.1900,0.8770,0.2036,0.920
0.425015,0.2447,0.8633,0.2461,0.930
0.440048,0.2691,0.9009,0.2866,0.983
