accx,accy,accz
0.2183,-0.8336,-0.4516
0.2945,-0.8605,-0.4101
0.3835,-0.9162,-0.4375
0.464,-1.0076,-0.5059
0.4269,-1.0262,-0.4688
0.3189,-0.9866,-0.4336
0.2632,-0.9299,-0.4009
0.2583,-0.8777,-0.4204
0.2877,-0.818,-0.5088
0.2481,-0.7515,-0.5118
0.2373,-0.7095,-0.4795
0.2823,-0.6724,-0.3613
0.3898,-0.6822,-0.3383
0.5129,-0.71,-0.4576
0.5212,-0.7266,-0.4438
0.5046,-0.7462,-0.4825
0.4866,-0.8405,-0.4668
0.5134,-0.9358,-0.4537
0.6102,-1.0076,-0.5372
0.6043,-0.9402,-0.5655
0.5359,-0.7711,-0.5294
0.4738,-0.6084,-0.4209
0.3771,-0.477,-0.3974
0.3365,-0.4017,-0.4561
0.4216,-0.3895,-0.4771
0.4611,-0.4354,-0.3813
0.465,-0.4775,-0.4253
0.55,-0.5229,-0.4712
0.5535,-0.5493,-0.4708
0.637,-0.5762,-0.48
0.7601,-0.6318,-0.4585
0.7543,-0.5713,-0.4678
0.5505,-0.4427,-0.4673
0.4518,-0.3221,-0.4443
0.5354,-0.3006,-0.4922
0.4333,-0.3108,-0.4272
0.6043,-0.3768,-0.4976
0.6273,-0.4511,-0.524
0.5476,-0.4926,-0.5953
0.4914,-0.5063,-0.5988
0.5916,-0.5497,-0.5528
0.6507,-0.5869,-0.4781
0.5897,-0.5239,-0.4888
0.5466,-0.5112,-0.1986
0.4133,-0.4804,-0.3608
0.4714,-0.4344,-0.2685
0.4748,-0.3485,-0.3222
0.4416,-0.2976,-0.4004
0.5037,-0.389,-0.4766
0.7816,-0.6519,-0.5861
0.7406,-0.8102,-0.7399
0.8276,-0.9587,-0.675
0.5774,-0.9201,-0.5963
0.3991,-0.8019,-0.5641
0.3864,-0.7042,-0.3657
0.336,-0.5684,-0.2641
0.5378,-0.6284,-0.2724
0.5691,-0.752,-0.3134
0.4733,-0.7985,-0.4248
0.4455,-0.7833,-0.3847
0.3224,-0.7032,-0.4223
0.2921,-0.6905,-0.4145
0.3228,-0.776,-0.4615
0.4045,-0.9294,-0.4737
0.4386,-1.0907,-0.5484
0.4885,-1.1498,-0.5636
0.3644,-1.0042,-0.4649
0.2422,-0.7765,-0.4786
0.229,-0.6455,-0.3623
0.2471,-0.6621,-0.4106
0.3556,-0.775,-0.2997
0.4504,-0.9358,-0.3745
0.3879,-1.1561,-0.3197
0.1289,-1.0848,-0.4389
0.0453,-0.9314,-0.4214
-0.0201,-0.7902,-0.3916
0.1572,-0.883,-0.4644
0.3747,-1.1185,-0.2279
0.2852,-1.0926,-0.2768
0.2344,-1.0594,-0.2919
0.0839,-0.9925,-0.5206
-0.0607,-0.9211,-0.6476
-0.0646,-0.8693,-0.4219
-0.0485,-0.8371,-0.3241
-0.047,-0.8493,-0.4013
0.0566,-0.8947,-0.4683
0.2261,-0.9656,-0.2161
0.3189,-0.9881,-0.2064
0.2574,-0.9626,-0.2249
0.0893,-0.9109,-0.3867
0.1865,-0.8742,-0.5729
0.3189,-0.8678,-0.3315
0.2495,-0.8253,-0.3803
0.1347,-0.8185,-0.483
0.2017,-0.8273,-0.5235
0.3429,-0.8224,-0.4487
0.5076,-0.8727,-0.4693
0.532,-0.9886,-0.4659
0.4259,-1.0477,-0.4243
0.2721,-0.9773,-0.4556
0.1035,-0.8327,-0.3823
0.1049,-0.7892,-0.3422
0.2339,-0.885,-0.3462
0.4176,-1.0096,-0.3994
0.4919,-1.0545,-0.4507
0.3648,-0.9886,-0.4756
0.4211,-0.8781,-0.4766
0.4968,-0.7672,-0.4214
0.49,-0.7154,-0.4331
0.4767,-0.7017,-0.3974
0.4694,-0.7135,-0.3833
0.4797,-0.7452,-0.5157
0.4103,-0.7227,-0.4678
0.4035,-0.7413,-0.354
0.512,-0.7926,-0.3496
0.5848,-0.8043,-0.3383
0.6702,-0.69,-0.3407
0.6497,-0.5229,-0.2816
0.6546,-0.4667,-0.3799
0.5339,-0.5014,-0.4771
0.4064,-0.5493,-0.3681
0.4089,-0.5444,-0.4576
0.5139,-0.5234,-0.5313
0.6614,-0.5889,-0.6036
0.68,-0.6294,-0.5518
0.6595,-0.6235,-0.525
0.6282,-0.5258,-0.4566
0.5295,-0.4032,-0.3442
0.3791,-0.1975,-0.3813
0.5784,-0.1906,-0.4443
0.5574,-0.3001,-0.4009
0.6317,-0.4276,-0.5103
0.5422,-0.519,-0.395
0.6561,-0.4378,-0.5455
0.6253,-0.4007,-0.4282
0.6385,-0.4422,-0.4253
0.4846,-0.4017,-0.4747
0.6292,-0.4139,-0.3285
0.6522,-0.37,-0.3652
0.6463,-0.3445,-0.4287
0.7313,-0.4037,-0.4571
0.6424,-0.4252,-0.4585
0.6087,-0.4819,-0.5035
0.6102,-0.5874,-0.5372
0.5833,-0.7071,-0.5323
0.595,-0.7423,-0.4849
0.572,-0.6563,-0.5088
0.5354,-0.5556,-0.4302
0.4939,-0.5346,-0.4277
0.4997,-0.5835,-0.4165
0.5481,-0.6172,-0.3672
0.5843,-0.6172,-0.4145
0.6849,-0.6651,-0.4854
0.6654,-0.7169,-0.4844
0.572,-0.7691,-0.4786
0.5046,-0.7902,-0.4341
0.5056,-0.7785,-0.4429
0.4885,-0.8156,-0.4443
0.4885,-0.8864,-0.4199
0.4108,-0.8678,-0.3989
0.3141,-0.7613,-0.3769
0.3277,-0.6802,-0.3232
0.3243,-0.67,-0.3755
0.4323,-0.7951,-0.4898
0.4817,-0.9573,-0.4253
0.4377,-0.9954,-0.5587
0.384,-0.9753,-0.3882
0.2154,-0.8712,-0.4316
0.1968,-0.8752,-0.3965
0.2237,-1.0003,-0.4238
0.2686,-1.1254,-0.5254
0.2608,-1.1024,-0.46
0.1484,-0.8659,-0.418
0.0815,-0.6651,-0.4038
0.0961,-0.6397,-0.4502
0.187,-0.755,-0.3427
0.2896,-0.8864,-0.3456
0.3492,-0.9993,-0.4742
0.357,-1.0608,-0.4732
0.2105,-0.9519,-0.267
0.0917,-0.7985,-0.4419
0.2515,-0.9436,-0.3725
0.3116,-0.9421,-0.329
0.1469,-0.7647,-0.4082
0.0199,-0.7296,-0.3852
0.0976,-0.8068,-0.4424
0.25,-0.9421,-0.5582
0.3888,-1.0394,-0.5533
0.339,-0.9314,-0.4199
0.0253,-0.7736,-0.2406
-0.1335,-0.6616,-0.4678
0.1758,-0.7008,-0.4747
0.3121,-0.8786,-0.3701
0.2652,-0.9807,-0.2431
0.2843,-1.0223,-0.2953
0.2574,-0.9895,-0.4532
0.3604,-0.9426,-0.5015
0.3292,-0.9211,-0.3994
0.2765,-0.8483,-0.4443
0.3258,-0.7731,-0.3916
0.3092,-0.7882,-0.3779
0.1616,-0.8043,-0.3202
0.104,-0.8361,-0.3764
0.2066,-0.8546,-0.3305
0.358,-0.7657,-0.2787
0.3561,-0.6563,-0.3417
0.1132,-0.7208,-0.289
-0.0201,-0.8058,-0.2563
0.0805,-0.8777,-0.2391
0.2422,-0.7848,-0.2587
0.3067,-0.6367,-0.2504
0.0595,-0.6567,-0.2831
0.0664,-0.9353,-0.3857
0.2437,-1.1136,-0.3402
0.5051,-0.9309,-0.2592
0.4098,-0.7408,-0.3061
0.1557,-0.8239,-0.2592
0.1401,-0.9553,-0.3574
0.2745,-0.859,-0.4522
0.4856,-0.859,-0.2968
0.5032,-0.9113,-0.2846
0.3268,-0.7799,-0.3906
0.2598,-0.711,-0.3574
0.2197,-0.9011,-0.268
0.0336,-0.9685,-0.4282
0.0859,-0.991,-0.3266
0.2931,-0.9514,-0.3202
0.5037,-1.1444,-0.3109
0.3043,-1.1854,-0.1785
-0.0001,-0.9123,-0.2108
0.0331,-0.8845,-0.1751
0.0742,-0.9265,-0.1262
0.1636,-0.7741,-0.1361
0.3385,-0.6724,-0.2147
0.2935,-0.5996,-0.1981
0.0424,-0.6607,-0.1087
0.0052,-0.9524,-0.1629
0.1201,-1.0452,-0.1649
-0.0187,-0.4975,-0.1126
0.2022,-1.0076,-0.2572
0.2725,-1.4004,-0.1492
0.3155,-1.4029,-0.1844
0.3561,-1.0447,-0.1649
0.3018,-1.0027,-0.1649
0.079,-0.9367,-0.1189
0.0566,-0.6499,-0.2098
0.3727,-0.8292,-0.3393
0.4216,-0.9876,-0.3178
0.3697,-1.053,-0.266
0.2818,-0.8542,-0.2514
0.209,-0.799,-0.1458
0.3473,-1.0604,-0.1199
0.145,-0.7012,-0.0632
-0.0026,-0.7188,0.0076
0.2486,-1.1943,-0.0974
0.5593,-1.2416,-0.1888
0.6077,-1.1039,-0.2465
0.4162,-1.1024,-0.2875
0.3487,-0.9861,-0.203
0.3033,-0.9196,-0.0442
0.3438,-0.9978,-0.1834
0.3673,-1.0359,-0.1654
0.3531,-1.0364,-0.0779
0.2857,-1.0315,-0.1356
0.1254,-0.9778,-0.2225
0.1079,-1.0076,0.0345
0.5037,-1.0159,-0.1995
0.5858,-1.0506,-0.1644
0.639,-0.9333,-0.0764
0.6707,-0.883,-0.1683
0.6287,-1.0956,0.0961
0.4929,-0.9983,0.0135
0.2578,-1.1849,0.6858
0.4299,-0.8972,-0.7067
0.3189,-0.9778,0.1464
0.3038,-0.9626,0.2802
0.6688,-1.0599,0.1904
0.682,-1.2656,0.2426
0.8471,-1.1943,0.229
0.8696,-0.8712,0.6936
0.7811,-0.7858,0.9936
0.6952,-0.7432,1.0234
0.6693,-0.7672,0.7791
0.6146,-0.6783,0.699
0.5163,-0.5937,0.7913
0.3512,-0.564,0.8143
0.1817,-0.5747,0.8016
0.0883,-0.5845,0.8055
0.0526,-0.5385,0.7503
0.0267,-0.4159,0.7225
0.0179,-0.369,0.7557
0.0306,-0.3426,0.7469
0.0023,-0.2312,0.7107
-0.0778,-0.1877,0.7659
-0.1042,-0.1662,0.8749
-0.0289,-0.1085,0.891
0.0849,-0.0841,0.765
0.0966,0.0029,0.7425
0.1,0.0556,0.6536
0.0649,0.0977,0.7156
0.1186,0.1333,0.7141
0.1944,0.2257,0.613
0.2036,0.2359,0.5798
0.1914,0.1895,0.6252
0.1948,0.126,0.6834
0.1372,0.2164,0.6917
0.0991,0.2857,0.7048
0.0443,0.3625,0.7791
0.1235,0.2364,0.8217
0.1929,0.2354,0.8861
0.1459,0.2486,1.1368
0.0571,0.3649,1.233
0.1381,0.2857,1.1691
0.2608,0.2193,1.0772
0.1826,0.2701,1.1451
0.0634,0.3,1.2286
0.015,0.2901,1.1647
0.015,0.2725,1.0601
0.0355,0.253,0.9814
-0.0348,0.3014,1.0151
-0.0642,0.3039,0.9721
-0.047,0.3102,0.913
-0.026,0.2638,0.9277
-0.0739,0.2447,0.9922
-0.1057,0.2418,1.0068
-0.0598,0.191,0.9599
-0.006,0.1738,0.9306
0.0052,0.1568,0.9922
-0.0275,0.1841,1.0508
-0.0852,0.2452,1.0694
-0.1062,0.2638,1.0083
-0.0519,0.2183,0.9184
-0.0363,0.2437,0.9394
-0.0167,0.231,1.0054
-0.0089,0.2183,1.0307
-0.0485,0.2306,1.0684
-0.045,0.1548,1.0962
-0.0333,0.1358,1.1348
0.017,0.1025,1.1143
0.037,0.079,1.0997
-0.0328,0.1494,1.1403
-0.0588,0.1587,1.1045
-0.0514,0.1949,0.9741
-0.0353,0.2188,0.9198
-0.046,0.2164,0.9404
-0.0612,0.2081,0.9463
-0.0441,0.2008,0.9003
-0.0045,0.1695,0.8529
0.0267,0.1905,0.9242
0.061,0.166,1.0538
0.0766,0.1631,1.1338
0.0874,0.1641,1.0557
0.0888,0.1641,0.9717
-0.0006,0.1841,1.0151
-0.0153,0.1886,1.0312
0.0438,0.1729,0.9941
0.0942,0.1802,0.9731
0.0761,0.1577,1.0029
0.014,0.1299,0.9629
-0.0099,0.0855,0.891
-0.0939,0.0957,0.8578
-0.1467,0.04,0.8788
-0.1648,0.0107,0.8705
-0.1418,-0.0455,0.8915
-0.1164,-0.0768,0.9399
-0.0827,-0.1124,0.9394
-0.046,-0.0553,0.9355
0.0101,-0.0206,0.9594
0.0849,-0.0128,0.9032
0.0859,-0.0392,0.8358
1.7437,0.2335,2.351
0.5579,-0.2326,1.428
-0.07,-0.2942,1.0601
0.0546,0.0048,0.9066
0.0121,0.1748,1.0738
0.1861,-0.0617,0.98
0.3043,-0.0485,0.7752
0.3453,-0.004,0.8798
0.1323,0.0356,1.0806
-0.0172,0.1177,1.0684
0.0698,0.2017,0.9887
0.23,0.0869,0.8827
0.0937,0.1275,0.9907
-0.0153,0.3039,0.9956
-0.0632,0.3283,0.9169
-0.0895,0.3429,0.9385
-0.1926,0.4294,1.0249
-0.5005,0.5106,1.3034
-0.1218,0.4592,0.8993
-0.0314,0.3361,0.8856
0.0664,0.3254,0.9057
0.0219,0.2877,0.9648
-0.1364,0.275,1.126
-0.0812,0.3234,1.0469
-0.0314,0.2735,1.0102
-0.0226,0.2511,0.9975
-0.0035,0.213,1.0411
-0.0065,0.1905,1.0494
-0.0534,0.2291,0.9878
-0.1115,0.3,0.9316
-0.0974,0.2833,0.9277
-0.0969,0.2594,0.9946
-0.0793,0.2418,1.0039
-0.0563,0.232,1.0205
-0.0494,0.1993,1.1172
-0.0852,0.3488,0.3203
-0.3353,0.2545,1.0083
-0.1267,0.2174,1.2468
-0.0886,0.2349,1.1725
-0.0353,0.3044,1.0464
