gFx,gFy,gFz
-0.026,-1.0008,-0.3926
-0.1447,-0.8825,-0.3344
-0.3084,-0.8664,-0.331
-0.2845,-0.731,-0.3256
-0.2826,-0.5713,-0.2225
-0.2684,-0.369,-0.0457
-0.2053,-0.2678,0.0858
-0.1506,-0.2273,0.1527
-0.1198,-0.2957,0.1376
-0.0988,-0.3817,0.074
-0.071,-0.4584,0.0086
-0.0436,-0.4638,-0.075
-0.1062,-0.4672,-0.1566
-0.1751,-0.5952,-0.4189
-0.1413,-0.9626,-1.1553
-0.1569,-1.2285,-1.5242
-0.3705,-0.9514,-1.0663
-0.4516,-0.6533,-0.8723
-0.5078,-0.6314,-0.6809
-0.5967,-0.9275,-0.7942
-0.5518,-1.4244,-0.0686
-0.287,-1.4845,0.9575
-0.7711,-1.9291,-0.2978
-0.4609,-2.2242,0.3628
-0.0226,-1.7102,0.5602
-0.071,-1.3355,0.3272
-0.1232,-1.0486,0.1923
-0.1169,-0.8297,0.1522
-0.1423,-0.6793,0.1664
-0.3876,-0.5502,-0.0124
-0.7243,-0.6357,-0.4717
-0.8518,-0.778,-0.7351
-0.2865,-0.9881,-0.6036
0.0209,-0.9699,-0.1052
0.1597,-0.9944,0.2334
0.2193,-0.9577,0.182
0.1763,-0.7481,-0.1551
-0.0294,-0.6187,-0.5196
-0.1379,-0.7956,-0.483
-0.0803,-0.9573,-0.2782
-0.0822,-0.9128,-0.2729
-0.092,-0.8195,-0.4101
-0.0983,-0.7741,-0.5259
-0.0065,-1.16,-0.6051
-0.0421,-1.5758,-0.2621
-0.3412,-1.7112,-0.4238
-0.7711,-1.4801,-0.4947
-0.8801,-1.2412,-0.0994
-0.8547,-1.2651,0.0179
-0.4692,-1.2788,-0.0418
-0.1535,-1.1791,-0.0803
-0.0593,-1.0013,-0.1096
-0.0734,-0.8791,-0.2147
-0.1609,-0.7437,-0.1018
-0.2483,-0.5786,0.0677
-0.1751,-0.4071,0.08
-0.0978,-0.2947,0.0917
-0.1281,-0.1823,0.1312
-0.2317,-0.1129,0.1444
-0.2273,-0.1085,0.0301
-0.1692,-0.1916,-0.0217
-0.0798,-0.3098,-0.0178
0.0399,-0.4335,-0.0134
0.0516,-0.5605,-0.1004
-0.0255,-0.7589,-0.4438
-0.221,-0.9871,-1.4
-0.3075,-0.9709,-1.1357
-0.2219,-0.8889,-0.7263
-0.4868,-0.7662,-0.5372
-0.801,-1.1508,-0.4018
-0.4844,-1.3779,0.401
-1.4523,-2.3273,-2.7608
-0.3431,-2.1954,0.3536
0.1846,-1.5934,0.3145
0.0756,-1.1859,0.3628
-0.0382,-0.9998,0.2216
0.0175,-0.8654,0.0262
-0.0372,-0.8825,-0.3652
-0.3163,-0.8429,-0.3774
-0.3735,-0.8488,-0.2831
-0.326,-0.7882,-0.2386
-0.3392,-0.5708,-0.5079
-0.3001,-0.3993,-0.4189
-0.1218,-0.3495,-0.288
0.0072,-0.4462,-0.1732
-0.0607,-0.5322,-0.4219
-0.2039,-0.4931,-0.0662
-0.1594,-0.5312,0.0888
-0.0441,-0.7012,-0.1238
0.1181,-1.0203,-0.9466
0.3243,-1.1688,-0.5636
0.3942,-1.2978,-0.0754
0.3791,-1.5103,-0.3451
0.0101,-1.6301,-1.0365
-0.6984,-1.7043,-0.7458
-0.9817,-1.8065,-0.309
