gFx,gFy,gFz
0.2061,-0.1398,-0.9417
0.2027,-0.1428,-0.9442
0.2027,-0.1472,-0.9535
0.2071,-0.1501,-0.9491
0.2075,-0.1584,-0.9481
0.209,-0.1452,-0.9408
0.2051,-0.1374,-0.9432
0.2007,-0.1394,-0.9496
0.1978,-0.1423,-0.9515
0.1968,-0.1462,-0.9457
0.2012,-0.1428,-0.9461
0.2041,-0.1447,-0.9422
0.2046,-0.1462,-0.9466
0.2056,-0.1491,-0.9481
0.1997,-0.1467,-0.9486
0.2041,-0.1457,-0.9452
0.1997,-0.1447,-0.9476
0.2036,-0.1462,-0.9471
0.2051,-0.1462,-0.9447
0.2051,-0.1462,-0.9471
0.2075,-0.1491,-0.9486
0.2031,-0.1481,-0.9437
0.2085,-0.1472,-0.9466
0.2056,-0.1467,-0.9447
0.2051,-0.1438,-0.9491
0.2017,-0.1452,-0.9466
0.2041,-0.1472,-0.9452
0.2031,-0.1438,-0.9457
0.2061,-0.1486,-0.9466
0.2036,-0.1442,-0.9471
0.2002,-0.1418,-0.9457
0.2007,-0.1418,-0.9466
0.2002,-0.1472,-0.9471
0.2041,-0.1442,-0.9461
0.2007,-0.1472,-0.9515
0.2031,-0.1506,-0.9466
0.2036,-0.1433,-0.9452
0.2022,-0.1447,-0.9491
0.2071,-0.1481,-0.9447
0.2031,-0.1447,-0.9491
0.2031,-0.1438,-0.9457
0.2061,-0.1472,-0.9466
0.208,-0.1506,-0.9413
0.2051,-0.1433,-0.9447
0.2027,-0.1447,-0.9422
0.2027,-0.1477,-0.95
0.2071,-0.1472,-0.9452
0.2012,-0.1408,-0.9481
0.1997,-0.1423,-0.9427
0.2022,-0.1433,-0.9486
0.2017,-0.1457,-0.9476
0.2031,-0.1477,-0.9442
0.2007,-0.1481,-0.9447
0.2027,-0.1457,-0.9457
0.2041,-0.1564,-0.951
0.2168,-0.1584,-0.952
0.2276,-0.1521,-0.9447
0.2051,-0.1413,-0.9417
0.23,-0.153,-0.9481
0.2144,-0.154,-0.9374
0.2002,-0.1477,-0.933
0.208,-0.1384,-0.9476
0.2066,-0.1457,-0.9505
0.2095,-0.1506,-0.9457
0.208,-0.1516,-0.9393
0.2061,-0.1496,-0.9437
0.1988,-0.1516,-0.9447
0.1978,-0.1457,-0.95
0.1939,-0.1447,-0.9452
0.1939,-0.1491,-0.9505
0.2017,-0.1491,-0.9447
0.2046,-0.1457,-0.9432
0.2041,-0.1462,-0.9452
0.2066,-0.1452,-0.9461
0.2007,-0.1462,-0.9442
0.2066,-0.1457,-0.9452
0.21,-0.1457,-0.9447
0.2119,-0.1545,-0.9452
0.2139,-0.1506,-0.9447
0.2154,-0.1501,-0.9413
0.2129,-0.1521,-0.9398
0.2173,-0.1452,-0.9364
0.2119,-0.1457,-0.9422
0.211,-0.1535,-0.9461
0.2129,-0.1506,-0.9427
0.2129,-0.1481,-0.9393
0.2075,-0.1481,-0.9452
0.2031,-0.1501,-0.9457
0.2012,-0.1506,-0.9452
0.2071,-0.1467,-0.9471
0.2046,-0.1511,-0.9442
0.2066,-0.1501,-0.9471
0.2051,-0.1452,-0.9457
0.2061,-0.1462,-0.9452
0.2071,-0.1486,-0.9457
0.2114,-0.1496,-0.9457
0.21,-0.1477,-0.9442
0.211,-0.1516,-0.9447
0.2144,-0.1481,-0.9442
0.2105,-0.1457,-0.9422
0.21,-0.1516,-0.9457
0.209,-0.1457,-0.9442
0.2095,-0.1516,-0.9442
0.2041,-0.1477,-0.9476
0.2051,-0.1462,-0.9461
0.208,-0.1442,-0.9452
0.2041,-0.1506,-0.9427
0.2007,-0.1467,-0.9398
0.208,-0.1457,-0.9476
0.2075,-0.1447,-0.9427
0.2066,-0.1467,-0.9457
0.2085,-0.1462,-0.9471
0.2041,-0.1428,-0.9417
0.2061,-0.1481,-0.9447
0.21,-0.1457,-0.9452
0.2056,-0.1438,-0.9486
0.2095,-0.1501,-0.9408
0.2071,-0.1481,-0.9432
0.2066,-0.1501,-0.9403
0.2071,-0.1486,-0.9466
0.2071,-0.1496,-0.9447
0.2061,-0.1491,-0.9466
0.2085,-0.1438,-0.9452
0.2051,-0.1486,-0.9447
0.2046,-0.1501,-0.9466
0.2036,-0.1496,-0.9476
0.2085,-0.1447,-0.9505
0.2046,-0.1457,-0.9442
0.2066,-0.1467,-0.9452
0.2056,-0.1457,-0.9442
0.2056,-0.1501,-0.9471
0.2075,-0.1481,-0.9437
0.2046,-0.1452,-0.9452
0.2071,-0.1481,-0.9442
0.208,-0.1486,-0.9466
0.208,-0.1462,-0.9457
0.2061,-0.1506,-0.9432
0.2061,-0.1472,-0.9496
0.2046,-0.1481,-0.9417
0.2061,-0.1467,-0.9432
0.2071,-0.1491,-0.9491
0.2041,-0.1501,-0.9481
0.2061,-0.1477,-0.9461
0.2061,-0.1472,-0.9403
0.2061,-0.1428,-0.9452
0.2041,-0.1477,-0.9471
0.2061,-0.1462,-0.9437
0.2066,-0.1481,-0.9452
0.2061,-0.1457,-0.9452
0.2124,-0.1447,-0.9481
0.2066,-0.1472,-0.9491
0.208,-0.1472,-0.9481
0.2031,-0.1506,-0.9471
0.2071,-0.153,-0.9408
0.2056,-0.1452,-0.9442
0.2036,-0.1462,-0.9447
0.2066,-0.1462,-0.951
0.2071,-0.153,-0.9476
0.21,-0.1442,-0.9432
0.2066,-0.1447,-0.9432
0.2061,-0.1506,-0.9486
0.2105,-0.1511,-0.9481
0.2085,-0.1486,-0.953
0.2066,-0.1521,-0.9452
0.2095,-0.1496,-0.9417
0.2129,-0.1521,-0.9408
0.2134,-0.1447,-0.9466
0.2119,-0.1521,-0.9491
0.2075,-0.1511,-0.9427
0.2075,-0.1447,-0.9457
0.2075,-0.1486,-0.9437
0.2075,-0.1486,-0.9481
0.211,-0.1506,-0.9471
0.2066,-0.1486,-0.9447
0.2061,-0.1521,-0.9461
0.2051,-0.1472,-0.9447
0.2061,-0.1472,-0.9461
0.2066,-0.1462,-0.9452
0.208,-0.1457,-0.9452
0.208,-0.1535,-0.9491
0.2017,-0.1472,-0.9417
0.2051,-0.1472,-0.9452
0.2036,-0.1486,-0.9369
0.2046,-0.1457,-0.9417
0.2056,-0.1442,-0.9452
0.2085,-0.1486,-0.9432
0.2085,-0.1618,-0.9481
0.2095,-0.1564,-0.9476
0.211,-0.1335,-0.9364
0.2129,-0.1394,-0.953
0.2105,-0.1604,-0.951
0.2139,-0.1589,-0.9505
0.21,-0.1447,-0.9417
0.2124,-0.1477,-0.9422
0.2071,-0.1545,-0.9457
0.2066,-0.1525,-0.9437
0.2124,-0.1423,-0.9447
0.2061,-0.1418,-0.9476
0.2022,-0.1555,-0.954
0.2012,-0.1462,-0.9496
0.1978,-0.1428,-0.9452
0.1939,-0.1364,-0.9432
0.1992,-0.1428,-0.9471
0.2022,-0.1491,-0.9447
0.2051,-0.1477,-0.9452
0.2027,-0.1481,-0.9457
0.209,-0.1516,-0.9476
0.2114,-0.156,-0.9413
0.21,-0.1256,-0.975
0.2075,-0.1511,-0.9374
0.2041,-0.1584,-0.9432
0.2027,-0.1403,-0.9457
0.249,-0.0944,-1.0199
0.1826,-0.1457,-0.9667
0.2027,-0.1374,-0.9496
0.1953,-0.1418,-0.9593
0.2002,-0.1462,-0.9715
0.21,-0.1286,-0.9574
0.2061,-0.1535,-0.9222
0.2027,-0.1408,-0.9232
0.2002,-0.1403,-0.9569
0.1978,-0.1462,-0.9632
0.1963,-0.155,-0.9544
0.1851,-0.1452,-0.9188
0.1685,-0.1594,-0.8988
0.2061,-0.0665,-1.0702
0.1817,-0.1569,-0.9637
0.1861,-0.1862,-0.8998
0.2031,-0.1413,-0.9515
0.1958,-0.1056,-0.95
0.1973,-0.1394,-0.9378
0.1503,-0.2194,-0.7316
0.2232,-0.1105,-1.0424
0.2056,-0.0963,-1.0229
0.1792,-0.155,-0.8973
0.2149,-0.129,-0.9476
0.1841,-0.2067,-0.9491
0.2173,-0.1085,-0.954
0.2066,-0.1295,-0.9417
0.1758,-0.1496,-0.9315
0.2041,-0.1379,-0.9574
0.1909,-0.1579,-0.9554
0.1826,-0.1447,-0.9657
0.1929,-0.1408,-0.9642
0.1865,-0.1564,-0.954
0.2046,-0.1584,-0.9452
0.1948,-0.1256,-0.9452
0.1944,-0.0983,-0.9364
0.1948,-0.1178,-0.9408
0.1939,-0.1521,-0.952
0.2168,-0.1672,-0.9461
0.2227,-0.1521,-0.954
0.2061,-0.1418,-0.9549
0.2149,-0.1501,-0.9496
0.2085,-0.1535,-0.9408
0.2202,-0.1447,-0.9203
0.2315,-0.1447,-0.9286
0.2398,-0.1428,-0.9364
0.2339,-0.1511,-0.9437
0.2339,-0.1579,-0.9393
0.2295,-0.1638,-0.933
0.23,-0.1491,-0.9315
0.2285,-0.156,-0.9442
0.2295,-0.1477,-0.9593
0.2056,-0.1442,-0.9413
0.2276,-0.1594,-0.9271
0.2144,-0.1442,-0.9779
0.1997,-0.1516,-0.9422
0.2212,-0.1472,-0.9183
0.2398,-0.1418,-0.9364
0.2266,-0.1364,-0.9735
0.2354,-0.1521,-0.9461
0.23,-0.1545,-0.9164
0.2324,-0.1457,-0.9305
0.2202,-0.1579,-0.9476
0.2144,-0.1447,-0.9574
0.2139,-0.1467,-0.9315
0.2329,-0.175,-0.9398
0.2285,-0.1677,-0.9388
0.2329,-0.1486,-0.9193
0.2237,-0.153,-0.9369
0.2305,-0.1442,-0.9413
0.2373,-0.1394,-0.9378
0.2134,-0.1452,-0.9486
0.2261,-0.1403,-0.9315
0.211,-0.1408,-0.9437
0.2095,-0.1516,-0.9564
0.2237,-0.1467,-0.9403
0.2188,-0.1462,-0.9364
0.2041,-0.1501,-0.9447
0.2105,-0.156,-0.9447
0.2168,-0.1447,-0.9413
0.2188,-0.135,-0.9422
0.2173,-0.1481,-0.9486
0.2217,-0.1457,-0.9408
0.2256,-0.1516,-0.9408
0.2281,-0.155,-0.9447
0.2251,-0.1584,-0.9364
0.2276,-0.154,-0.9393
0.2285,-0.1555,-0.9432
0.2256,-0.1535,-0.9466
0.231,-0.156,-0.9393
0.2324,-0.1516,-0.9364
0.231,-0.1486,-0.9393
0.2251,-0.1477,-0.9447
0.2158,-0.1496,-0.9408
0.208,-0.1477,-0.9461
0.1997,-0.1398,-0.9481
0.2002,-0.1408,-0.9481
0.2022,-0.1447,-0.9427
0.2051,-0.1486,-0.9481
0.2046,-0.1452,-0.9505
