gFx,gFy,gFz
-0.368,-0.5527,-0.3085
-0.5156,-0.3949,-0.4385
-0.3822,-0.5009,-0.3197
-0.3426,-0.5674,-0.2816
-0.1555,-0.6666,-0.139
0.0023,-0.841,0.08
0.0321,-0.9807,0.2153
-0.0969,-0.9314,0.1386
-0.3021,-0.8278,-0.1375
-0.3651,-0.9328,-0.2875
-0.455,-0.9983,-0.3818
-0.5576,-0.9743,-0.3725
-0.3744,-0.9426,-0.3188
-0.1692,-1.0105,-0.2939
-0.1438,-1.3511,-0.03
-0.1829,-1.57,-0.1062
-0.3974,-1.3941,-0.4272
-0.3558,-1.2631,-1.0175
-0.327,-1.288,-0.7053
-0.3759,-1.3135,-0.2665
-0.3998,-1.2895,0.0355
-0.5098,-1.1346,0.2793
-0.6251,-1.1249,0.3404
-0.7296,-1.1254,0.1425
-0.7213,-1.0584,-0.4976
-0.6451,-0.8894,-0.9745
-0.5044,-0.7554,-0.589
-0.2757,-0.624,-0.0168
-0.1237,-0.5204,0.3101
0.0028,-0.5771,0.1757
0.0038,-0.7408,-0.4786
-0.2527,-0.7686,-0.3965
-0.4154,-0.6729,-0.1297
-0.3446,-0.4809,-0.0999
-0.1931,-0.3035,-0.1785
-0.1037,-0.1389,-0.2186
-0.0568,-0.0841,-0.3833
0.0238,-0.1941,-0.5123
0.1631,-0.4149,-0.5489
0.3228,-0.5478,-0.566
0.3307,-0.5375,-0.6066
0.1973,-0.4711,-0.8528
0.209,-0.7325,-2.7462
-0.8176,-1.1727,-0.1849
-1.1957,-1.183,1.107
-0.8195,-1.6144,-1.2105
-0.5317,-1.2695,-0.1717
-0.3715,-1.0252,0.0267
-0.4032,-1.1322,-0.4209
-0.5161,-1.2617,-0.2865
-0.6138,-1.12,-0.1297
-0.4394,-0.9905,-0.0241
-0.3075,-0.8933,-0.1067
-0.1863,-0.8943,-0.1532
-0.0773,-0.905,-0.1991
-0.0441,-0.8688,-0.2215
-0.0964,-0.7056,-0.2337
-0.1961,-0.5151,-0.2816
-0.2874,-0.5967,-0.2738
-0.2493,-0.7726,-0.1722
-0.239,-0.7965,-0.1311
-0.2923,-0.7169,-0.2064
-0.4003,-0.7345,-0.2616
-0.4404,-0.8537,-0.1678
-0.2918,-0.9748,-0.0945
-0.0725,-1.0437,-0.1087
-0.0314,-1.142,-0.0813
-0.1369,-1.2846,-0.1761
-0.2718,-1.3345,-0.4385
-0.3666,-1.1967,-0.7106
-0.3685,-1.1932,-0.4527
-0.4745,-1.5226,-0.4096
-0.6734,-1.783,-0.414
-0.7589,-1.5387,-0.5333
-0.7433,-1.269,-0.7326
-0.7658,-1.1757,-0.5386
-0.6304,-1.1122,-0.16
-0.4584,-0.8991,0.1933
-0.4213,-0.7584,0.5075
