gFx,gFy,gFz
-1.0106,0.0766,0.1454
-1.0106,0.0781,0.1469
-1.0121,0.0761,0.1498
-1.0126,0.0776,0.1425
-1.0126,0.0771,0.1434
-1.0121,0.0766,0.1434
-1.0126,0.0781,0.1483
-1.0116,0.0756,0.1478
-1.0076,0.0795,0.1459
-1.0106,0.0776,0.1415
-1.0096,0.0732,0.1454
-1.0135,0.0732,0.1439
-1.0082,0.0761,0.1415
-1.0106,0.0781,0.143
-1.014,0.0742,0.1483
-1.0169,0.0751,0.1469
-1.0121,0.0737,0.1469
-1.0052,0.0766,0.142
-1.0057,0.0727,0.1454
-1.0096,0.0751,0.1464
-1.015,0.0766,0.1405
-1.0165,0.0751,0.1444
-1.0135,0.0811,0.1444
-1.0096,0.0761,0.143
-1.0106,0.0761,0.142
-1.0101,0.0781,0.1444
-1.0126,0.0781,0.1434
-1.0101,0.0771,0.1449
-1.014,0.0751,0.1464
-1.0106,0.0761,0.1454
-1.0106,0.0727,0.1474
-1.0096,0.0732,0.143
-1.0082,0.0756,0.1425
-1.0135,0.0742,0.1444
-1.0106,0.0732,0.1449
-1.0111,0.0776,0.1483
-1.0111,0.0786,0.1464
-1.0116,0.0698,0.1478
-1.0086,0.0766,0.1488
-1.0121,0.0751,0.1444
-1.0106,0.0756,0.1434
-1.0135,0.0756,0.1474
-1.0126,0.0756,0.1474
-1.0111,0.0756,0.1434
-1.0082,0.0751,0.1464
-1.013,0.0737,0.1498
-1.0135,0.0717,0.1469
-1.0066,0.0756,0.1459
-1.0126,0.079,0.1464
-1.0121,0.0756,0.1474
-1.0179,0.0737,0.1474
-1.0116,0.0717,0.1454
-1.0091,0.0717,0.1464
-1.0076,0.0747,0.143
-1.0091,0.0742,0.1439
-1.0145,0.0776,0.1464
-1.0106,0.0751,0.1454
-1.0086,0.0766,0.1454
-1.0106,0.0786,0.1474
-1.013,0.0761,0.1498
-1.0135,0.0703,0.1474
-1.0106,0.0771,0.1454
-1.0101,0.0761,0.1439
-1.0106,0.0776,0.1488
-1.0111,0.0756,0.1449
-1.0091,0.0751,0.1454
-1.0101,0.0747,0.1493
-1.014,0.0756,0.1454
-1.0111,0.0742,0.1493
-1.0116,0.0776,0.1434
-1.013,0.0732,0.1434
-1.0101,0.0737,0.1469
-1.0126,0.079,0.1434
-1.014,0.0776,0.1474
-1.0135,0.0756,0.1464
-1.0135,0.0747,0.1488
-1.0111,0.0707,0.1503
-1.0116,0.0751,0.1449
-1.0106,0.0737,0.1449
-1.0116,0.0747,0.1464
-1.0116,0.0722,0.1464
-1.0135,0.0742,0.1474
-1.0111,0.0795,0.1469
-1.0096,0.0742,0.1464
-1.014,0.0761,0.1459
-1.0096,0.0732,0.1449
-1.0101,0.0751,0.1415
-1.0082,0.0786,0.1469
-1.0135,0.0747,0.1474
-1.016,0.0771,0.1493
-1.0155,0.0751,0.1454
-1.0101,0.0727,0.1405
-1.0071,0.0737,0.1444
-1.0106,0.0727,0.1454
-1.0155,0.0707,0.142
-1.0126,0.0727,0.1474
-1.0086,0.0737,0.1439
-1.0106,0.0727,0.1449
-1.0091,0.0742,0.1474
-1.0101,0.0737,0.1464
-1.0066,0.0771,0.141
-1.0111,0.0756,0.1454
-1.0096,0.0727,0.1488
-1.014,0.0732,0.1464
-1.0101,0.0727,0.143
-1.0135,0.0722,0.1474
-1.0135,0.0703,0.1454
-1.0121,0.0737,0.1464
-1.0096,0.0766,0.1464
-1.0076,0.0751,0.1444
-1.0116,0.0732,0.1464
-1.0061,0.0737,0.1469
-1.0126,0.0756,0.1454
-1.0096,0.0756,0.1444
-1.0096,0.0742,0.1488
-1.0106,0.0703,0.1478
-1.0091,0.0801,0.1459
-1.0096,0.0781,0.1469
-1.0096,0.0737,0.1488
-1.0101,0.0717,0.1483
-1.0106,0.0766,0.1459
-1.014,0.0737,0.1464
-1.015,0.0742,0.1474
-1.0091,0.0742,0.1444
-1.0091,0.0766,0.1469
-1.0121,0.0712,0.1449
-1.0116,0.0742,0.1474
-1.0106,0.0766,0.1488
-1.0111,0.0801,0.1459
-1.0116,0.0786,0.1454
-1.0179,0.0756,0.1469
-1.0179,0.0717,0.1474
-1.0082,0.0727,0.1478
-1.0076,0.0747,0.1415
-1.0091,0.0727,0.1459
-1.0126,0.0771,0.1469
-1.0155,0.0751,0.1488
-1.0101,0.0761,0.1464
-1.0106,0.0737,0.1425
-1.0101,0.079,0.1483
-1.0082,0.0761,0.1454
-1.0096,0.0801,0.1527
-1.0106,0.0771,0.1464
-1.0126,0.0761,0.1478
-1.0121,0.0751,0.1493
-1.0126,0.0751,0.1493
-1.0121,0.0703,0.1454
-1.0126,0.0732,0.1469
-1.0111,0.0781,0.1469
-1.0091,0.0801,0.1483
-1.0082,0.0795,0.1425
-1.014,0.0761,0.1449
-1.0111,0.0761,0.1434
-1.0101,0.0776,0.1493
-1.0135,0.0751,0.1469
-1.0111,0.0737,0.1469
-1.0106,0.0806,0.1483
-1.0082,0.0732,0.1459
-1.0071,0.0727,0.1454
-1.0135,0.0761,0.1459
-1.0106,0.0756,0.1474
-1.0106,0.0766,0.1459
-1.0126,0.0693,0.1439
-1.0101,0.0742,0.1459
-1.0106,0.0766,0.1493
-1.0096,0.0795,0.1474
-1.0076,0.0806,0.1454
-1.016,0.0742,0.1503
-1.0165,0.0732,0.1503
-1.0096,0.0732,0.1439
-1.0076,0.0771,0.1459
-1.0096,0.0786,0.1464
-1.013,0.0756,0.1469
-1.0135,0.0751,0.1483
-1.0096,0.0747,0.1459
-1.0106,0.0756,0.1439
-1.0096,0.0761,0.1444
-1.0096,0.0761,0.1459
-1.0121,0.079,0.1464
-1.0101,0.0766,0.1478
-1.0111,0.0766,0.1493
-1.0155,0.0751,0.1478
-1.0145,0.0751,0.1478
-1.0082,0.0751,0.1444
-1.0126,0.0707,0.1483
-1.0086,0.0781,0.1449
-1.0106,0.0776,0.1478
-1.0101,0.0742,0.1459
-1.0101,0.0751,0.1454
-1.0096,0.0766,0.1459
-1.0091,0.0766,0.1439
-1.013,0.0742,0.1464
-1.0121,0.0761,0.1478
-1.0091,0.0698,0.1517
-1.0106,0.0781,0.1503
-1.0091,0.0761,0.1488
-1.0126,0.0747,0.1478
-1.0116,0.0766,0.1478
-1.0116,0.0751,0.1415
-1.0126,0.0761,0.1425
-1.0116,0.0756,0.1425
-1.0082,0.0727,0.1425
-1.013,0.0732,0.1454
-1.0116,0.0761,0.1449
-1.0086,0.0781,0.1444
-1.0121,0.0761,0.1488
-1.016,0.0727,0.1508
-1.0116,0.0732,0.1464
-1.0096,0.0722,0.1444
-1.0101,0.0722,0.1444
-1.0086,0.0742,0.1454
-1.0135,0.0771,0.1508
-1.0101,0.0742,0.1508
-1.0106,0.0737,0.1459
-1.0101,0.0761,0.1478
-1.0111,0.079,0.1439
-1.0086,0.0766,0.1439
-1.0076,0.0761,0.1464
-1.0096,0.0776,0.1439
-1.0106,0.0737,0.1474
-1.013,0.0732,0.1469
-1.0111,0.0712,0.1474
-1.015,0.0742,0.1503
-1.0116,0.0722,0.143
-1.0135,0.0742,0.1439
-1.0106,0.0761,0.1449
-1.0126,0.0771,0.1459
-1.0145,0.0756,0.1474
-1.013,0.0747,0.1478
-1.0101,0.0737,0.1503
-1.0126,0.0742,0.1449
-1.0091,0.0737,0.1483
-1.0091,0.0732,0.1498
-1.013,0.0722,0.1498
-1.013,0.0732,0.1469
-1.0091,0.0737,0.1464
-1.0091,0.0727,0.1478
-1.0106,0.0751,0.1439
-1.0116,0.0717,0.1469
-1.0091,0.0732,0.1483
-1.0082,0.0727,0.1454
-1.0116,0.0737,0.1498
-1.0121,0.0712,0.1434
-1.0091,0.0766,0.1478
-1.0076,0.0756,0.1483
-1.0096,0.0732,0.1469
-1.013,0.0717,0.1459
-1.0121,0.0766,0.1444
-1.0082,0.0732,0.1478
-1.0101,0.0712,0.1469
-1.0106,0.0756,0.1498
-1.0116,0.0756,0.1464
-1.0101,0.0742,0.1522
-1.0106,0.0727,0.1464
-1.013,0.0742,0.1498
-1.0145,0.0717,0.141
-1.0096,0.0737,0.1459
-1.0082,0.0732,0.1444
-1.0091,0.0727,0.1469
-1.0155,0.0727,0.1498
-1.0126,0.0707,0.1478
-1.0066,0.0732,0.1493
-1.0071,0.0742,0.1469
-1.0076,0.0698,0.1449
-1.0116,0.0698,0.1454
-1.0121,0.0722,0.1517
-1.0135,0.0771,0.1454
-1.0111,0.0756,0.1425
-1.0121,0.0732,0.1517
-1.0111,0.0717,0.1459
-1.0091,0.0751,0.1434
-1.0111,0.0761,0.1469
-1.0111,0.0761,0.1464
-1.0101,0.0747,0.1474
-1.0121,0.0737,0.1483
-1.015,0.0698,0.1493
-1.0174,0.0732,0.1444
-1.0101,0.0751,0.1464
-1.0106,0.0751,0.1464
-1.0096,0.0761,0.1488
-1.0126,0.0756,0.1464
-1.0091,0.0742,0.1439
-1.0076,0.0717,0.1454
-1.0101,0.0751,0.1503
-1.0111,0.0732,0.1474
-1.0111,0.0766,0.1454
-1.0082,0.0747,0.1474
-1.0096,0.0761,0.1469
-1.0106,0.0751,0.1444
-1.0052,0.0727,0.1459
-1.0091,0.0756,0.1503
-1.0082,0.0722,0.1425
-1.0126,0.0751,0.1478
-1.0116,0.0801,0.1469
-1.0111,0.0747,0.1464
-1.0111,0.0747,0.1483
-1.0116,0.0756,0.1493
-1.0106,0.0737,0.1503
-1.0116,0.0747,0.1474
-1.0121,0.0707,0.1483
-1.0082,0.0742,0.1498
-1.0096,0.0727,0.1459
-1.0106,0.0727,0.1488
-1.0121,0.0707,0.1474
-1.0076,0.0727,0.1478
-1.0076,0.0732,0.1474
-1.0071,0.0761,0.1483
-1.0179,0.0732,0.1552
-1.014,0.0722,0.1483
-1.0106,0.0717,0.143
-1.0042,0.0707,0.1449
-1.0155,0.0722,0.1444
-1.0111,0.0727,0.1493
-1.0126,0.0747,0.1493
-1.0091,0.0737,0.1459
-1.0116,0.0776,0.1449
-1.0106,0.0732,0.1469
-1.014,0.0727,0.1464
-1.0091,0.0766,0.1469
-1.0082,0.0761,0.1474
-1.0121,0.0727,0.1483
-1.0116,0.0761,0.1498
-1.0126,0.0756,0.1454
-1.0096,0.0732,0.1439
-1.013,0.0712,0.1493
-1.0116,0.0742,0.1513
-1.0096,0.0756,0.1425
-1.0126,0.0751,0.1478
-1.0071,0.0756,0.1483
-1.0111,0.0712,0.1478
-1.0101,0.0747,0.1488
-1.013,0.0766,0.1459
-1.0121,0.0707,0.1498
-1.0116,0.0737,0.1454
