gFx,gFy,gFz
-0.5146,-0.6143,-0.502
-0.3353,-0.7159,-0.1067
-0.3587,-0.7178,-0.0187
-0.1966,-0.8899,-0.0754
-0.0568,-1.0144,0.0345
-0.091,-0.9162,-0.0031
-0.2517,-0.8845,-0.0486
-0.2694,-1.14,-0.8157
-0.1668,-1.2553,-0.975
-0.0011,-1.3955,-0.6765
0.0302,-1.4048,-0.4433
0.0854,-1.4215,-0.6872
0.0136,-1.3384,-0.6232
-0.0788,-1.2094,-0.2352
-0.3651,-1.3452,-0.1922
-0.7169,-1.3213,0.0086
-0.8513,-1.4224,0.2583
-0.9314,-1.396,0.0858
-0.7545,-1.2724,-0.6559
-0.6373,-1.0745,-1.0624
-0.5161,-0.9665,-0.4516
-0.1951,-0.7848,0.185
0.1357,-0.7086,0.4361
0.3253,-0.6812,-0.2939
-0.0881,-0.519,-0.2005
-0.3187,-0.2664,0.1958
-0.3324,-0.0548,0.0184
-0.1638,0.1045,-0.0335
-0.0861,0.231,-0.0432
0.1127,0.1548,-0.2733
0.3966,-0.2024,-0.7952
0.4562,-0.5239,-1.1411
0.0145,-0.6773,-1.5129
-0.2625,-1.1732,-0.287
-0.6945,-1.3408,0.8256
-1.057,-1.7161,0.1293
-0.6724,-1.8998,-0.4634
-0.4404,-1.3999,-0.1409
-0.3407,-1.2246,-0.1233
-0.2078,-1.0174,-0.2132
-0.1477,-0.8439,-0.2147
-0.1751,-0.7775,-0.1062
-0.2024,-0.8317,-0.1922
-0.2239,-0.841,-0.355
-0.2571,-0.8019,-0.4512
-0.2278,-0.8566,-0.353
-0.176,-0.8762,-0.2523
-0.2,-0.8141,-0.33
-0.0895,-0.8122,-0.3774
0.1274,-0.947,-0.3476
0.2066,-1.139,-0.3173
-0.0637,-1.2304,-0.435
-0.3436,-1.14,-0.6706
-0.2469,-0.9881,-0.757
-0.0842,-1.0564,-0.846
-0.1267,-1.3775,-0.5905
-0.4203,-1.5558,-0.3007
-0.7663,-1.4869,-0.3095
-1.0282,-1.3892,-0.4605
-0.7814,-1.3257,-0.2802
-0.4795,-1.1058,0.0584
-0.3202,-0.8493,0.3374
-0.2259,-0.7003,0.5114
0.0155,-0.7481,0.0599
0.0482,-0.9822,-1.1269
-0.2997,-0.7819,-0.3407
-0.2762,-0.624,0.0247
-0.1306,-0.4965,0.0805
-0.0387,-0.4594,-0.0779
-0.0539,-0.4604,-0.1013
-0.1218,-0.3758,-0.0667
-0.1369,-0.2478,-0.0857
-0.0842,-0.1892,-0.2274
