gFx,gFy,gFz
-0.4966,-1.1532,0.2641
-0.3084,-1.2114,0.3286
-0.2571,-1.0174,0.3228
-0.2371,-0.8884,-0.2318
-0.3011,-0.8292,-0.9828
-0.2738,-0.8522,-1.1016
-0.154,-0.9514,-0.4263
-0.1668,-0.9651,0.1005
-0.0612,-0.9773,0.2744
-0.0089,-0.9499,0.249
-0.0016,-0.8722,0.1732
-0.0866,-0.8039,0.0966
-0.2346,-0.8551,-0.0794
-0.2532,-1.0105,-0.2909
-0.1692,-1.0516,-0.3285
-0.0578,-1.0018,-0.1707
0.06,-1.0232,-0.0833
0.1631,-1.0643,-0.1658
0.1665,-1.1244,-0.2166
0.0654,-1.1273,-0.246
-0.1169,-1.012,-0.5294
-0.1096,-0.9104,-0.6071
0.0267,-1.2817,-0.2494
0.0786,-1.3355,-0.308
0.3209,-1.2075,-0.054
0.1895,-1.1449,0.2436
-0.18,-1.1801,0.2192
-0.499,-1.27,0.12
-0.7516,-1.354,-0.1536
-0.8005,-1.3828,-0.6344
-0.4971,-1.1112,-0.354
-0.2738,-0.862,-0.1463
-0.1535,-0.7608,-0.0056
-0.2385,-0.6387,0.1865
-0.1355,-0.6099,0.3453
-0.0832,-0.6499,0.2739
-0.0402,-0.7349,-0.1986
-0.0197,-0.7907,-0.4404
-0.0925,-0.7388,-0.1742
-0.2767,-0.474,-0.0525
-0.3021,-0.3362,-0.0974
-0.2195,-0.3343,-0.179
-0.0905,-0.4232,-0.2758
0.0033,-0.6436,-0.5303
0.0101,-1.0784,-1.0649
0.0605,-1.4962,-1.4245
0.2378,-1.6404,-1.0409
0.1621,-1.0281,-0.8699
-0.0206,-0.6621,-0.7864
-0.1047,-0.6964,-0.3324
-0.3216,-1.205,-0.03
-0.5503,-1.6277,0.0096
-1.0355,-1.7982,-0.9413
-0.584,-0.8855,-0.0261
-0.4203,-0.5219,0.3575
-0.2576,-0.4648,0.3135
-0.2219,-0.5024,0.2612
-0.1926,-0.755,0.3023
-0.18,-0.9616,0.3135
-0.2327,-1.0174,0.3106
-0.3084,-0.9626,0.2724
-0.3881,-0.8317,0.2885
-0.5498,-0.8195,-0.248
-0.5117,-0.8791,-1.0365
-0.2053,-0.9182,-1.1587
-0.1472,-0.9612,-0.5264
-0.0094,-0.9494,0.0755
0.0624,-0.9763,0.227
0.0756,-1.0174,0.2299
0.0424,-0.9402,0.2241
-0.0104,-0.8283,0.2016
-0.1325,-0.8234,0.2016
-0.3373,-0.9758,-0.3642
-0.2733,-1.0867,-0.9212
-0.0421,-1.1083,-0.5773
0.19,-1.0907,-0.0598
0.2984,-1.1156,0.207
0.3879,-1.1156,0.0013
0.1802,-1.0428,-0.6721
-0.113,-1.1854,-0.6408
-0.1042,-1.3486,-0.3735
0.1059,-1.1278,-0.2748
0.1157,-1.1044,0.1591
-0.0646,-1.2485,0.3575
-0.3353,-1.3613,0.3243
-0.5747,-1.4024,0.229
-0.7594,-1.4513,-0.7585
-0.5806,-1.2563,-0.3725
-0.3368,-0.9724,-0.1414
-0.1032,-0.8107,-0.008
-0.1394,-0.6445,0.1527
-0.0939,-0.6011,0.3555
-0.046,-0.5923,0.2832
-0.0114,-0.6646,-0.1829
-0.0519,-0.7457,-0.3701
-0.1433,-0.6939,-0.0544
-0.2767,-0.4985,0.057
-0.3666,-0.302,-0.074
-0.266,-0.2849,-0.139
-0.1179,-0.4198,-0.2166
-0.0568,-0.6861,-0.4223
-0.1335,-1.0599,-1.2344
-0.0416,-1.5465,-1.6649
0.187,-1.6633,-1.0077
0.0067,-1.0496,-0.6877
-0.1188,-0.6216,-0.6916
-0.0045,-0.537,-0.4394
-0.1359,-0.9964,-0.073
-0.3984,-1.4181,0.1308
-0.6861,-1.7454,0.0496
-0.8884,-1.2172,-0.5807
-0.6138,-0.5536,0.3726
-0.4003,-0.517,0.508
-0.2205,-0.6798,0.3413
-0.1599,-0.9377,0.3052
-0.1198,-1.0535,0.2495
-0.0788,-0.991,0.227
-0.1315,-0.8429,0.1815
-0.218,-0.6143,0.1674
-0.4008,-0.6626,-0.1951
-0.4589,-0.8777,-0.7874
-0.1345,-1.0135,-0.9549
0.0233,-0.9822,-0.5005
0.0331,-0.9319,0.0154
0.017,-0.9421,0.2524
-0.0416,-1.0022,0.1865
-0.0671,-0.9832,0.1327
-0.1008,-0.9387,0.1229
-0.2664,-1.0003,0.0927
-0.2845,-1.0345,-0.4717
-0.0832,-0.9758,-0.9564
0.1137,-1.0604,-0.4028
0.2368,-1.1703,0.074
0.3311,-1.1556,0.0154
0.187,-1.0608,-0.7585
-0.0925,-1.2079,-0.5983
-0.0656,-1.374,-0.2254
0.1763,-1.1992,0.032
0.1626,-1.1566,0.3296
-0.0939,-1.1982,0.3252
-0.4281,-1.2905,0.2241
-0.6822,-1.3999,-0.1986
-0.9348,-1.4693,-0.7737
-0.7389,-1.1625,-0.244
-0.3246,-0.8816,-0.0745
-0.1164,-0.7349,0.1371
-0.0842,-0.6099,0.2641
0.0267,-0.6074,0.2773
0.0292,-0.671,0.015
0.0189,-0.7481,-0.4389
-0.1076,-0.7252,-0.1038
-0.0744,-0.6196,0.0726
-0.2171,-0.4071,0.0682
-0.2425,-0.2595,-0.0867
-0.1218,-0.3074,-0.1429
-0.0099,-0.5126,-0.2816
-0.0475,-0.8219,-0.5812
-0.1829,-1.2182,-1.5114
0.0101,-1.6516,-1.4636
0.1445,-1.3667,-0.8323
0.0917,-0.7726,-0.7243
-0.0289,-0.5522,-0.5616
-0.2239,-0.9411,-0.1585
-0.4584,-1.4298,0.1674
-0.6935,-1.7767,0.0262
-0.6212,-1.3726,-0.8762
-0.4946,-0.5977,0.2837
-0.3568,-0.4422,0.5221
-0.1985,-0.4115,0.335
-0.1486,-0.6807,0.2456
-0.1633,-0.9431,0.2719
-0.1135,-1.097,0.2529
-0.1306,-1.0516,0.1928
-0.347,-0.8073,0.1107
-0.4604,-0.734,-0.3847
-0.3954,-0.8556,-0.8118
-0.2459,-0.9255,-0.696
-0.1101,-0.9104,-0.2836
-0.0656,-0.927,0.0873
0.0316,-0.9871,0.2661
0.0238,-0.9905,0.2348
-0.0421,-0.9392,0.1591
-0.0871,-0.8336,0.0848
-0.1736,-0.9675,-0.287
-0.1897,-1.1634,-0.6451
-0.0769,-1.0995,-0.5978
0.0844,-0.9851,-0.3095
0.232,-1.054,-0.0369
0.2505,-1.1068,-0.031
0.0355,-1.0369,-0.587
-0.156,-1.1664,-0.7194
-0.027,-1.4102,-0.3525
0.2305,-1.182,-0.1507
0.2398,-1.2246,0.3477
0.038,-1.3164,0.4024
-0.3539,-1.4361,0.3062
-0.6368,-1.4835,0.2607
-0.8493,-1.5612,-1.0092
-0.6085,-1.2436,-0.4101
-0.3451,-0.907,-0.1444
-0.1179,-0.6968,0.0516
-0.0646,-0.5796,0.1747
-0.0827,-0.5331,0.3423
-0.0583,-0.5674,0.1987
-0.0666,-0.6211,-0.2249
-0.1648,-0.6533,-0.2821
-0.1663,-0.624,-0.0197
-0.2835,-0.4501,0.0399
-0.3163,-0.2859,-0.0628
-0.1858,-0.2913,-0.1018
-0.0001,-0.4921,-0.2313
-0.0221,-0.903,-0.6217
-0.2107,-1.4132,-1.5447
-0.1682,-1.7303,-1.6669
0.21,-1.2377,-1.102
0.2984,-0.626,-0.8694
0.232,-0.4887,-0.3994
-0.025,-0.9026,0.2446
-0.4736,-1.4254,0.2275
-0.8234,-1.8856,0.0599
-0.9348,-1.3633,-0.2332
-0.7145,-0.7071,0.2636
-0.3832,-0.6563,0.4239
-0.2224,-0.6998,0.3789
-0.1154,-0.8556,0.2822
-0.0915,-0.8967,0.1781
-0.0622,-0.8879,0.1386
-0.0959,-0.776,0.014
-0.2058,-0.6636,-0.1854
-0.2962,-0.8581,-0.4473
-0.2733,-0.9323,-0.6422
-0.0983,-0.8811,-0.3823
-0.0588,-0.924,-0.0095
-0.0245,-0.9675,0.162
0.0072,-0.9915,0.1884
-0.0549,-0.9792,0.1381
-0.1569,-0.9402,0.0912
-0.3822,-0.9485,-0.1683
-0.394,-0.9695,-0.6627
-0.1555,-0.947,-0.5719
0.0947,-1.0071,-0.1746
0.2809,-1.1317,0.0677
0.3869,-1.184,0.1098
0.3756,-1.1073,-0.3051
0.0712,-1.0311,-0.8313
-0.1555,-1.2665,-0.5685
0.016,-1.3775,-0.3696
0.2593,-1.1859,-0.0681
0.1704,-1.1166,0.2729
-0.1795,-1.0907,0.2705
-0.4521,-1.1962,0.1879
-0.9891,-1.4098,-0.4932
-0.9001,-1.6262,-0.4365
-0.455,-1.3242,-0.2235
-0.156,-1.0013,-0.1727
0.0644,-0.86,-0.0901
-0.1633,-0.6729,0.0223
-0.1511,-0.644,0.2182
-0.0324,-0.6807,0.1586
0.0419,-0.7227,-0.2563
-0.113,-0.6768,-0.1849
-0.2024,-0.538,0.0091
-0.3202,-0.3435,0.0433
-0.3739,-0.1887,-0.0779
