gFx,gFy,gFz
0.2481,-0.1804,-0.9251
0.2515,-0.1823,-0.9286
0.2515,-0.1833,-0.9271
0.25,-0.1828,-0.9291
0.2495,-0.1828,-0.9295
0.2505,-0.1828,-0.9286
0.2456,-0.1809,-0.9271
0.252,-0.1838,-0.9276
0.2495,-0.1823,-0.9276
0.252,-0.1828,-0.931
0.2461,-0.1804,-0.9305
0.2515,-0.1857,-0.931
0.2456,-0.1818,-0.9291
0.25,-0.1843,-0.9295
0.2486,-0.1828,-0.9281
0.2476,-0.1814,-0.9315
0.249,-0.1814,-0.9271
0.2534,-0.1809,-0.9242
0.2505,-0.1804,-0.9281
0.2486,-0.1838,-0.9266
0.2486,-0.1814,-0.9286
0.25,-0.1789,-0.9256
0.2471,-0.1809,-0.9256
0.251,-0.1833,-0.9286
0.251,-0.1848,-0.9305
0.249,-0.1833,-0.9291
0.2486,-0.1867,-0.9242
0.2461,-0.1814,-0.9281
0.2481,-0.1833,-0.9256
0.2486,-0.1818,-0.9266
0.249,-0.1809,-0.9261
0.249,-0.1814,-0.9291
0.2461,-0.1828,-0.9261
0.2525,-0.1799,-0.9281
0.2476,-0.1823,-0.9251
0.2515,-0.1823,-0.9261
0.2495,-0.1828,-0.9251
0.249,-0.1809,-0.9251
0.2505,-0.1809,-0.9295
0.2461,-0.1794,-0.9281
0.2495,-0.1848,-0.9261
0.2461,-0.1823,-0.9222
0.25,-0.1838,-0.9261
0.2486,-0.1823,-0.9295
0.2495,-0.1789,-0.9266
0.2456,-0.1843,-0.9276
0.2481,-0.1862,-0.9256
0.2461,-0.1814,-0.9281
0.2456,-0.1804,-0.9286
0.25,-0.1818,-0.9286
0.25,-0.1862,-0.9266
0.2515,-0.1882,-0.9256
0.2539,-0.1911,-0.9276
0.2481,-0.1882,-0.9227
0.2495,-0.1799,-0.9261
0.2486,-0.1814,-0.9281
0.2442,-0.1809,-0.9286
0.2486,-0.1818,-0.9247
0.252,-0.1809,-0.9266
0.2471,-0.1857,-0.9295
0.25,-0.1833,-0.9227
0.2476,-0.1848,-0.9315
0.2451,-0.1809,-0.9276
0.2451,-0.1857,-0.9237
0.2481,-0.1833,-0.9305
0.2466,-0.1833,-0.931
0.2495,-0.1843,-0.9261
0.2486,-0.1867,-0.9247
0.2534,-0.1853,-0.9305
0.2505,-0.1877,-0.9242
0.2481,-0.1823,-0.9281
0.2481,-0.1814,-0.932
0.249,-0.1774,-0.9276
0.2476,-0.1843,-0.9276
0.2471,-0.1867,-0.9256
0.2456,-0.1887,-0.9256
0.249,-0.1843,-0.9261
0.2461,-0.1838,-0.9291
0.2437,-0.1867,-0.9281
0.251,-0.1857,-0.9276
