gFx,gFy,gFz
0.0341,-1.1844,-0.4541
0.2031,-1.1088,-0.1228
0.2833,-1.033,-0.1834
0.2071,-1.0257,-0.482
-0.0138,-0.9172,-0.5127
-0.1071,-1.1337,-0.4394
-0.0974,-1.225,0.0511
-0.0411,-1.3565,0.3814
-0.3407,-1.5207,0.313
-0.6578,-1.6178,0.2368
-1.0145,-1.7459,-0.9823
-0.647,-1.2797,-0.3491
-0.3119,-0.8473,-0.0104
0.1503,-1.0237,4.582
0.2447,-0.5923,-0.1321
-0.1071,-0.5957,0.2041
-0.2684,-0.5991,0.2656
-0.1008,-0.6387,-0.1839
0.0409,-0.5874,-0.1722
-0.0157,-0.4672,0.0535
-0.2938,-0.281,0.0863
-0.3793,-0.241,-0.0099
-0.3158,-0.325,-0.0803
-0.1477,-0.5478,-0.2611
-0.0455,-0.9367,-0.7605
-0.0778,-1.483,-1.8105
0.0497,-1.8065,-1.5472
0.0512,-1.3203,-0.8675
-0.0079,-0.7159,-0.6403
0.0101,-0.5341,-0.4048
-0.1751,-1.0516,0.1356
-0.4819,-1.5309,0.1948
-0.6456,-1.8021,0.0805
-0.5264,-0.9949,-0.2875
-0.5972,-0.5004,0.1361
-0.4443,-0.5644,0.2641
-0.2752,-0.7164,0.2436
-0.2039,-0.9089,0.3482
-0.1946,-0.9485,0.2705
-0.2522,-0.8649,0.1405
-0.26,-0.6793,0.1664
-0.2161,-0.7428,-0.1277
-0.1912,-0.9441,-0.5518
-0.1218,-0.9763,-0.8797
-0.0055,-0.8923,-0.6002
-0.0407,-0.8938,0.0316
-0.1027,-0.9768,0.2861
-0.0822,-1.0227,0.2143
-0.1047,-0.9607,0.1615
-0.1887,-0.883,0.1015
-0.2625,-1.053,-0.1449
-0.2361,-1.2602,-0.8098
0.0326,-1.1796,-1.0033
0.2456,-1.0633,-0.2132
0.274,-1.098,0.1923
0.3531,-1.1127,-0.0163
0.2114,-1.0818,-0.6794
0.0184,-1.2924,-0.652
0.0287,-1.1385,-0.5123
-0.0338,-1.0301,0.0174
-0.2317,-1.1639,0.3023
-0.372,-1.332,0.335
-0.6592,-1.42,0.27
-0.7584,-1.5334,-0.7522
-0.5259,-1.2534,-0.4859
0.3385,-1.0433,1.2169
-0.1873,-0.7281,-0.0491
-0.2005,-0.5908,0.2773
-0.0637,-0.5996,0.4449
-0.0143,-0.6172,0.3091
0.0209,-0.6715,-0.5196
-0.1203,-0.6773,-0.2641
-0.1619,-0.5874,-0.0374
-0.3202,-0.3709,0.0189
-0.3348,-0.2825,-0.0231
-0.1824,-0.3157,-0.0896
-0.0602,-0.5146,-0.2978
-0.1941,-1.0867,-0.8861
-0.2058,-1.9291,-2.1609
-0.0632,-2.0835,-1.5423
0.0253,-0.8043,-1.1562
0.1709,-0.477,-0.461
0.2027,-0.6827,0.5368
-0.284,-1.1771,0.3731
-0.5332,-1.5841,0.1923
-0.5992,-1.377,0.2431
-0.6984,-0.6426,0.0506
-0.6837,-0.7413,0.2568
-0.4247,-0.8249,0.2314
-0.2327,-0.9021,0.1865
-0.1027,-0.8439,0.27
-0.2278,-0.84,-0.0613
-0.2704,-0.9016,-0.1849
-0.2337,-0.7833,-0.3378
-0.2454,-0.6118,-0.5044
-0.1883,-0.7247,-0.286
0.0839,-1.0052,-0.1429
0.1411,-1.0667,-0.0759
0.0776,-0.9895,-0.0104
-0.0201,-0.9065,0.0526
-0.1741,-0.8811,0.0516
-0.2342,-0.8977,-0.1311
-0.241,-1.0878,-0.2929
-0.1306,-1.1634,-0.3916
0.0854,-1.0726,-0.4791
0.2755,-1.118,-0.2308
0.3565,-1.2021,-0.1155
