gFx,gFy,gFz
-0.93,-0.3915,0.013
-0.9226,-0.3905,0.0213
-0.9236,-0.391,0.0125
-0.927,-0.3846,0.0179
-0.9246,-0.3817,0.0242
-0.9197,-0.39,0.0169
-0.9182,-0.388,0.014
-0.9241,-0.3919,0.013
-0.9305,-0.388,0.0067
-0.9329,-0.3876,0.0096
-0.9207,-0.3866,0.0159
-0.9217,-0.3812,0.012
-0.9256,-0.3802,0.015
-0.9305,-0.3827,0.0145
-0.9275,-0.391,0.0135
-0.9241,-0.3846,0.011
-0.929,-0.3866,0.0125
-0.9275,-0.388,0.0076
-0.9251,-0.3851,0.0096
-0.9246,-0.3885,0.0101
-0.9212,-0.3851,0.0091
-0.9256,-0.3871,0.0135
-0.9222,-0.3866,0.015
-0.9241,-0.3822,0.0145
-0.9226,-0.3827,0.0159
-0.9241,-0.3827,0.014
-0.9236,-0.3836,0.0174
-0.9261,-0.3871,0.015
-0.9256,-0.3832,0.0135
-0.9246,-0.3885,0.0135
-0.9207,-0.3861,0.0145
-0.9261,-0.3895,0.0135
-0.9231,-0.3885,0.014
-0.9265,-0.3885,0.011
-0.9265,-0.388,0.012
-0.9197,-0.3876,0.0106
-0.9256,-0.3846,0.0154
-0.9256,-0.3822,0.015
-0.9231,-0.3905,0.0135
-0.9251,-0.3885,0.0154
-0.9241,-0.3885,0.015
-0.9222,-0.3827,0.0194
-0.9251,-0.389,0.012
-0.9251,-0.3876,0.0154
-0.9256,-0.3851,0.0125
-0.9285,-0.3812,0.0135
-0.9261,-0.3856,0.0106
-0.9231,-0.39,0.0101
-0.9236,-0.39,0.0052
-0.9275,-0.3866,0.0101
-0.9314,-0.3866,0.0086
-0.9275,-0.3861,0.0101
-0.9207,-0.3827,0.0159
-0.9212,-0.3866,0.0154
-0.9236,-0.3841,0.014
-0.9265,-0.3856,0.0135
-0.9236,-0.3866,0.0115
-0.9256,-0.3871,0.0174
-0.9246,-0.3861,0.0164
-0.927,-0.3856,0.013
-0.9226,-0.3866,0.0106
-0.927,-0.3866,0.0076
-0.9261,-0.3851,0.0081
-0.9246,-0.3876,0.012
-0.9251,-0.3871,0.0062
-0.9246,-0.3822,0.0071
-0.9265,-0.3836,0.012
-0.9231,-0.3871,0.0081
-0.9236,-0.3827,0.0076
-0.9197,-0.3812,0.011
-0.9236,-0.3841,0.0096
-0.9222,-0.3841,0.0096
-0.9202,-0.3871,0.0169
-0.9246,-0.3919,0.0145
-0.9236,-0.3934,0.014
-0.9217,-0.3866,0.011
-0.9182,-0.3724,0.0101
-0.9075,-0.367,0.0145
-0.928,-0.3705,-0.006
-0.9309,-0.3768,-0.0095
-0.93,-0.3661,-0.008
-0.9441,-0.3445,0.0018
-0.9129,-0.3396,-0.0222
-0.9759,-0.3299,-0.0197
-0.9754,-0.2605,-0.1023
-0.9832,-0.2845,-0.052
-1.0433,-0.2884,0.0115
-1.0008,-0.283,-0.0754
-0.9715,-0.2727,-0.0026
-1.0022,-0.2302,0.0135
-1.0116,-0.2082,0.0135
-0.9895,-0.238,0.0174
-0.9891,-0.2801,0.0491
-0.97,-0.3055,0.0696
-0.929,-0.2996,0.0633
-0.9319,-0.2981,0.035
-1.0032,-0.3055,0.034
-1.0453,-0.3001,0.0169
-1.0946,-0.3084,-0.0315
-1.0985,-0.2918,-0.0466
-1.0853,-0.2718,0.0511
-1.0633,-0.2654,0.1732
-0.9925,-0.2874,0.2719
-0.9324,-0.2859,0.2441
-0.9231,-0.2678,0.1684
-0.882,-0.2659,0.1127
-0.8889,-0.2805,0.0805
-0.9241,-0.2879,0.0941
-0.8923,-0.2747,0.1322
-0.8264,-0.2121,0.1654
-0.8093,-0.1648,0.1571
-0.8903,-0.2009,0.1181
-1.0404,-0.2962,0.1264
-1.1826,-0.389,0.2319
-1.25,-0.4276,0.4122
-1.1723,-0.389,0.4225
-1.0726,-0.3001,0.2817
-0.9803,-0.2454,0.1679
-0.8864,-0.2336,0.1117
-0.7843,-0.2635,0.0936
-0.735,-0.3416,0.0878
-0.7838,-0.3666,0.1781
-0.8503,-0.3426,0.2812
-0.9011,-0.3299,0.3702
-0.9524,-0.3495,0.4132
-0.971,-0.3788,0.4029
-0.9734,-0.4076,0.3706
-0.9544,-0.4027,0.3736
-0.9095,-0.3885,0.3941
-0.8567,-0.3822,0.3853
-0.8283,-0.3807,0.3545
-0.8254,-0.3954,0.3467
-0.8425,-0.4061,0.3653
-0.8786,-0.4383,0.42
-0.8493,-0.4232,0.4747
-0.8142,-0.4056,0.4811
-0.8,-0.4046,0.4483
-0.7966,-0.4247,0.4459
-0.7921,-0.4252,0.5075
-0.7599,-0.4188,0.5554
-0.7477,-0.4266,0.5485
-0.7277,-0.4437,0.5231
-0.7277,-0.475,0.5373
-0.7052,-0.5068,0.6042
-0.6514,-0.5204,0.6687
-0.582,-0.5102,0.6624
-0.5605,-0.5097,0.6218
-0.5713,-0.5268,0.6384
-0.5254,-0.5366,0.697
-0.4413,-0.5375,0.7596
-0.3299,-0.5679,0.8021
-0.1917,-0.583,0.784
-0.0549,-0.5659,0.7342
0.0248,-0.4828,0.7131
0.0136,-0.3934,0.6956
-0.0554,-0.369,0.6907
-0.1057,-0.3695,0.7376
-0.1403,-0.3836,0.7928
-0.1472,-0.4056,0.8241
-0.1364,-0.456,0.8529
-0.1135,-0.5033,0.9057
-0.1008,-0.4994,0.9399
-0.113,-0.4765,0.9336
-0.1101,-0.4452,0.9419
-0.0822,-0.4115,0.9472
-0.0573,-0.3763,0.9638
-0.048,-0.3504,0.9331
-0.0729,-0.349,0.8949
-0.0817,-0.3592,0.8798
-0.069,-0.3695,0.8778
-0.0607,-0.3778,0.8427
-0.0773,-0.3876,0.8344
-0.0935,-0.3944,0.8734
-0.0754,-0.4007,0.8861
-0.0372,-0.4061,0.892
0.0282,-0.4193,0.8891
0.0927,-0.4364,0.9145
0.1074,-0.4466,0.9433
0.1523,-0.4437,0.9375
0.2241,-0.4178,0.9076
0.2652,-0.3851,0.8417
0.1508,-0.3445,0.8266
-0.0045,-0.3372,0.8647
-0.1193,-0.3592,0.9145
-0.1486,-0.41,0.9433
-0.1232,-0.454,0.9169
-0.0944,-0.4565,0.8686
-0.0808,-0.4422,0.8661
-0.1081,-0.4095,0.8959
-0.1731,-0.409,0.9252
-0.2283,-0.4349,0.9341
-0.2713,-0.4784,0.9237
-0.2977,-0.5419,0.9057
-0.2845,-0.5981,0.8925
-0.2229,-0.5918,0.8915
-0.1721,-0.5175,0.8861
-0.1364,-0.4765,0.8681
-0.114,-0.4804,0.85
-0.0764,-0.5112,0.8368
-0.0685,-0.519,0.8461
-0.072,-0.5131,0.8427
-0.0847,-0.498,0.848
-0.0944,-0.4765,0.8744
-0.0793,-0.43,0.9125
-0.0436,-0.39,0.9228
-0.0074,-0.369,0.9042
0.0175,-0.37,0.8871
0.0082,-0.3802,0.8798
-0.027,-0.3983,0.9032
-0.0598,-0.3905,0.9228
-0.0856,-0.3861,0.9242
-0.0954,-0.3905,0.9184
-0.0803,-0.4149,0.9013
-0.0749,-0.4344,0.8959
-0.0876,-0.4383,0.9042
-0.1037,-0.4339,0.9027
-0.1066,-0.4462,0.9008
-0.0944,-0.474,0.9047
-0.0769,-0.4902,0.9057
-0.0573,-0.4828,0.9032
-0.048,-0.4672,0.8891
-0.0475,-0.455,0.8803
-0.0402,-0.4325,0.8852
-0.0241,-0.4081,0.894
-0.0177,-0.3827,0.8954
-0.0167,-0.3817,0.8905
-0.0123,-0.4042,0.8876
-0.0265,-0.4281,0.9023
-0.0397,-0.4369,0.9164
-0.0324,-0.4086,0.9321
-0.0309,-0.3783,0.9257
-0.0226,-0.3998,0.9042
-0.0118,-0.4378,0.8988
-0.0109,-0.4496,0.9003
-0.0299,-0.4315,0.8993
-0.0343,-0.4222,0.8969
-0.0236,-0.4164,0.8983
-0.0079,-0.4169,0.9062
-0.0172,-0.4198,0.9047
-0.0328,-0.4349,0.8964
-0.0426,-0.4398,0.9027
-0.0524,-0.4393,0.9071
-0.0554,-0.4374,0.9023
-0.0421,-0.4325,0.8983
-0.0148,-0.4193,0.8944
-0.0148,-0.4159,0.8925
-0.0241,-0.4227,0.8969
-0.0304,-0.4325,0.8925
-0.045,-0.4349,0.9037
-0.0568,-0.4159,0.9091
-0.0583,-0.4007,0.9071
-0.0607,-0.3949,0.8998
-0.0725,-0.4056,0.894
-0.0749,-0.4198,0.9027
-0.0773,-0.432,0.911
-0.0847,-0.4427,0.9149
-0.0935,-0.4609,0.9096
-0.1003,-0.4711,0.9008
-0.1091,-0.4682,0.8935
-0.1159,-0.4697,0.892
-0.1276,-0.478,0.8896
-0.1213,-0.4911,0.8954
-0.1154,-0.476,0.8949
-0.1286,-0.4731,0.8896
-0.1369,-0.4799,0.8866
-0.1438,-0.4843,0.8959
-0.1403,-0.4736,0.8979
-0.1164,-0.4505,0.892
-0.09,-0.4261,0.8842
-0.072,-0.4178,0.8925
-0.0642,-0.4374,0.9003
-0.0509,-0.4526,0.9086
-0.0153,-0.4344,0.9096
0.0048,-0.3983,0.913
0.0009,-0.3895,0.9076
-0.0114,-0.4281,0.9008
0.0067,-0.4511,0.9027
0.0443,-0.4305,0.9252
0.0409,-0.3817,0.9242
0.0316,-0.3445,0.9154
0.0472,-0.344,0.9169
0.0874,-0.3651,0.9106
0.1015,-0.3695,0.8983
0.0991,-0.3602,0.9008
0.081,-0.3592,0.914
0.0668,-0.3773,0.9228
0.0668,-0.3866,0.9174
0.0776,-0.3724,0.9135
0.0854,-0.3558,0.9042
0.0673,-0.3465,0.9091
0.0399,-0.3714,0.9052
0.0267,-0.4046,0.914
0.0472,-0.4115,0.9149
0.0585,-0.3959,0.9135
0.0375,-0.3773,0.9091
-0.0094,-0.3729,0.9154
-0.0598,-0.3827,0.9237
-0.1008,-0.4002,0.9262
-0.1604,-0.432,0.9233
-0.1995,-0.4843,0.9193
-0.2117,-0.5409,0.9355
-0.1936,-0.5488,0.9604
-0.156,-0.498,0.9516
-0.1159,-0.43,0.9193
-0.0783,-0.3983,0.8935
-0.0328,-0.4037,0.8861
-0.0055,-0.4374,0.8866
0.0023,-0.4481,0.9057
0.0121,-0.4369,0.9125
0.0204,-0.4212,0.8993
0.0223,-0.3905,0.8793
0.0267,-0.3622,0.8866
0.0409,-0.3617,0.9355
0.0756,-0.3788,0.9419
0.0747,-0.3944,0.9448
0.0326,-0.3768,0.9521
0.0228,-0.3431,0.9634
0.0302,-0.3221,0.9668
0.037,-0.3113,0.9526
0.0458,-0.3089,0.9297
0.0521,-0.3045,0.9047
0.0561,-0.3157,0.8959
0.0477,-0.3391,0.8974
0.0321,-0.3651,0.9071
0.0253,-0.3861,0.9242
0.0155,-0.3944,0.9331
-0.0001,-0.4071,0.9472
-0.0304,-0.409,0.9599
-0.0416,-0.3919,0.9795
-0.0309,-0.368,0.9765
-0.0016,-0.3534,0.9551
0.0072,-0.3426,0.9468
0.0038,-0.3328,0.958
0.0062,-0.3421,0.9604
0.0248,-0.3504,0.9326
0.0287,-0.35,0.9262
0.0253,-0.3352,0.9145
0.0184,-0.3264,0.9096
0.0316,-0.326,0.9316
0.0409,-0.3333,0.9385
0.0414,-0.3387,0.9448
0.0399,-0.3372,0.9663
0.0419,-0.3411,0.959
0.0287,-0.3406,0.958
0.0287,-0.3382,0.9414
-0.0153,-0.3372,0.9169
-0.0441,-0.2918,0.9409
-0.0074,-0.2508,0.9795
-0.0138,-0.2493,0.9052
-0.0754,-0.3094,0.8065
-0.3197,-0.368,0.8089
-0.6192,-0.3954,0.9453
-0.7863,-0.3543,1.0185
-0.6065,-0.284,1.0264
-0.4682,-0.2537,0.9032
-0.4687,-0.3011,0.8206
-0.454,-0.3641,0.8534
-0.4125,-0.3807,0.935
-0.3764,-0.3597,0.9668
-0.348,-0.3289,1.0034
-0.262,-0.2962,1.0312
-0.1917,-0.282,1.0039
-0.1159,-0.2581,0.9883
-0.0031,-0.2503,0.9546
-0.0324,-0.2038,0.8871
