gFx,gFy,gFz
-0.2239,-1.3213,-0.352
-0.111,-1.4859,-0.1204
0.0175,-1.42,-0.3031
0.0184,-1.2851,-0.2665
-0.3636,-1.119,0.0223
-0.6158,-1.0354,0.1542
-0.8918,-0.9871,0.0628
-0.9651,-1.0892,-0.2519
-0.436,-1.1698,-0.4219
-0.2254,-1.074,-0.2729
-0.1232,-0.8796,0.0067
-0.112,-0.817,0.1644
0.0043,-0.7232,0.229
0.0913,-0.7237,0.0325
0.0155,-0.7525,-0.3295
-0.1868,-0.7559,-0.2431
-0.3275,-0.5674,-0.0862
-0.3202,-0.4051,-0.0779
-0.3255,-0.2947,-0.1184
-0.283,-0.2586,-0.1624
-0.1765,-0.3817,-0.1956
-0.0773,-0.6621,-0.328
-0.049,-1.0311,-0.8949
0.0175,-1.4669,-1.3878
0.1778,-1.6409,-1.0751
0.0727,-1.0022,-0.801
0.0389,-0.5991,-0.716
0.0477,-0.6113,-0.4277
-0.2366,-1.1815,0.0237
-0.5425,-1.5934,0.2143
-0.8068,-1.8964,-0.0178
-0.8537,-1.2079,-0.7522
-0.7462,-0.4545,0.3731
-0.5122,-0.4359,0.4879
-0.2053,-0.4574,0.2959
-0.1423,-0.6759,0.248
-0.1848,-0.8869,0.228
-0.1506,-1.0257,0.2031
-0.0886,-1.0027,0.0091
-0.2405,-0.8366,-0.287
-0.2117,-0.8449,-0.6383
-0.2625,-0.9138,-0.3476
-0.261,-0.8747,-0.0236
-0.2259,-0.7858,-0.0251
-0.1511,-0.7824,-0.1878
-0.1125,-0.9319,-0.1356
-0.0539,-1.033,0.0316
-0.0299,-1.011,0.0584
-0.1008,-0.8943,-0.0691
-0.2713,-0.8268,-0.3002
-0.3075,-0.8933,-0.3554
-0.1384,-0.945,-0.2514
0.0673,-1.0525,-0.1439
0.1709,-1.1576,-0.0979
0.1479,-1.1576,-0.2743
-0.0382,-1.0706,-0.4957
-0.1564,-1.4176,-0.268
-0.0182,-1.5773,-0.0691
0.1333,-1.5055,-0.1033
0.0057,-1.3233,-0.2201
-0.5195,-1.1776,-0.0275
-0.775,-1.1097,0.1464
-1.0096,-0.9983,0.057
-0.9939,-0.9636,-0.3256
-0.4628,-0.9294,-0.3256
-0.2244,-0.8884,-0.0852
0.0033,-0.8288,0.1454
-0.025,-0.7697,0.2236
0.0487,-0.7637,0.2192
0.102,-0.8034,-0.2616
-0.0646,-0.8488,-0.309
-0.2982,-0.7105,-0.1135
-0.3441,-0.5317,-0.027
-0.3524,-0.39,-0.094
-0.3319,-0.2815,-0.1424
-0.2493,-0.2762,-0.1722
-0.1179,-0.4867,-0.2069
-0.048,-0.7838,-0.4487
-0.0573,-1.1112,-1.0957
0.0639,-1.4752,-1.2926
0.1411,-1.4351,-0.8817
-0.0671,-0.8811,-0.7644
-0.0778,-0.5703,-0.8308
-0.0148,-0.645,-0.288
-0.3446,-1.1791,0.269
-0.6861,-1.6189,0.0917
-1.3526,-1.7205,-1.2227
-0.7516,-0.7829,0.2114
-0.5444,-0.4897,0.6174
-0.2689,-0.6455,0.4274
-0.1521,-0.8595,0.3111
-0.1096,-0.9866,0.2675
-0.1442,-1.0154,0.228
-0.1198,-0.9192,-0.1575
-0.2605,-0.6895,-0.6481
-0.1394,-0.7633,-0.7009
-0.1594,-0.9489,-0.2802
-0.2092,-0.9881,0.0106
-0.1907,-0.9084,0.0868
-0.1609,-0.8268,0.0868
-0.156,-0.7785,0.0057
-0.1271,-0.8341,-0.1199
-0.1545,-0.968,-0.0759
-0.2283,-1.0032,-0.0955
-0.2957,-0.9323,-0.2416
-0.2493,-0.9192,-0.396
-0.1008,-0.9646,-0.2655
0.0742,-1.0389,-0.1052
0.2305,-1.0667,-0.138
0.2935,-1.0745,-0.2836
0.0585,-1.0242,-0.4585
-0.2083,-1.1664,-0.4053
-0.2312,-1.3193,-0.2895
-0.1208,-1.2744,-0.1854
-0.07,-1.3174,0.0184
-0.2635,-1.3613,0.1181
-0.6094,-1.3023,0.1517
-0.909,-1.2529,-0.0095
-0.775,-1.2094,-0.3989
-0.3578,-1.013,-0.4038
-0.135,-0.9553,-0.1727
-0.071,-0.8527,-0.2416
-0.0729,-0.8634,-0.1424
-0.2254,-0.7193,0.2231
-0.2259,-0.6636,0.2984
-0.0769,-0.6973,0.0237
-0.0109,-0.6915,-0.2665
-0.0666,-0.7047,-0.1815
-0.2371,-0.5674,-0.0784
-0.3563,-0.4383,-0.1722
-0.3587,-0.4188,-0.2431
-0.2826,-0.4672,-0.2758
-0.1135,-0.6255,-0.3657
-0.0157,-0.8439,-0.6017
-0.0016,-1.1048,-0.9975
-0.0529,-1.3467,-1.2149
-0.0421,-1.2079,-0.7497
-0.1071,-0.7775,-0.6554
-0.0182,-0.6016,-0.6251
-0.0534,-0.8556,-0.2714
-0.3514,-1.3892,0.0995
-0.7228,-1.7947,-0.2113
-0.775,-1.5192,-0.5079
-0.5059,-0.7467,0.2979
-0.4477,-0.5767,0.4405
-0.286,-0.4887,0.1923
-0.18,-0.5361,0.0814
-0.2141,-0.7633,0.1654
-0.2566,-1.0208,0.2461
-0.1697,-1.1249,0.1786
-0.2215,-1.0066,-0.0374
-0.24,-0.9045,-0.4053
-0.3759,-0.818,-0.632
-0.3426,-0.7999,-0.351
-0.242,-0.8224,-0.0261
-0.1829,-0.8419,0.0428
-0.0778,-0.9465,0.0491
-0.0192,-1.013,0.0863
-0.0216,-0.9724,0.0975
-0.0656,-0.8712,0.0613
-0.2234,-0.8571,-0.0754
-0.35,-0.9275,-0.3657
-0.2962,-0.9582,-0.3857
-0.153,-0.9392,-0.2122
0.0028,-0.9695,-0.1781
0.0888,-1.011,-0.0979
0.1118,-1.0843,-0.1395
0.0585,-1.0481,-0.2768
-0.0509,-0.99,-0.307
-0.1276,-1.1132,-0.329
-0.1325,-1.4176,-0.4448
-0.0045,-1.2734,-0.3227
-0.006,-1.1654,-0.1453
-0.1633,-1.1591,-0.0295
-0.4672,-1.161,0.0795
-0.758,-1.1371,0.075
-0.886,-1.2016,-0.1223
-0.4584,-1.2075,-0.2768
-0.2058,-1.0643,-0.1595
-0.0749,-0.9964,-0.0808
0.0722,-0.9612,-0.161
-0.1047,-0.7882,-0.0275
-0.1824,-0.7227,0.0345
-0.1756,-0.7008,-0.0647
-0.1521,-0.6494,-0.1903
-0.176,-0.5879,-0.1458
-0.3358,-0.4721,-0.0471
-0.4218,-0.3861,-0.1082
-0.4189,-0.3401,-0.1624
-0.3377,-0.3607,-0.1912
-0.1868,-0.4897,-0.2411
-0.0421,-0.7369,-0.3921
0.0634,-1.0481,-0.8147
0.1636,-1.3677,-1.3488
0.2696,-1.5368,-1.2022
0.1274,-1.1,-0.7918
0.0121,-0.7301,-0.6134
-0.0402,-0.6519,-0.351
-0.3901,-1.1581,-0.0217
-0.647,-1.5407,0.1229
-1.2705,-1.8045,-0.8812
-0.6368,-0.9577,0.1644
-0.588,-0.5209,0.5251
-0.3993,-0.5312,0.3208
-0.2483,-0.6143,0.121
-0.2371,-0.7486,0.1054
-0.2811,-0.9231,0.1044
-0.1824,-0.9876,0.1019
-0.1624,-0.9411,-0.0212
-0.1736,-0.8786,-0.1947
-0.3925,-0.8205,-0.3349
-0.4443,-0.8078,-0.4248
-0.2283,-0.8644,-0.3681
-0.1018,-0.9543,-0.1668
-0.0353,-1.0125,-0.0075
-0.047,-1.0433,0.1146
-0.0499,-0.9533,0.1449
-0.0353,-0.8258,0.1308
-0.1252,-0.7814,0.075
-0.2674,-0.8801,-0.1947
-0.287,-0.9421,-0.4516
-0.2,-0.9514,-0.3285
-0.0598,-0.9489,-0.16
0.0537,-1.0061,-0.0828
0.1157,-1.0662,-0.0129
0.1577,-1.1014,-0.0256
0.0581,-1.0374,-0.2787
-0.1257,-1.1478,-0.482
-0.1658,-1.4776,-0.3432
-0.0494,-1.5319,-0.3613
0.0472,-1.3682,-0.2103
-0.1858,-1.1185,-0.1356
-0.54,-1.0149,-0.0974
-0.7487,-0.9978,0.0491
-0.8498,-1.0291,0.0325
-0.5953,-1.1659,-0.1717
-0.3089,-1.1219,-0.2284
-0.1951,-1.0306,-0.1419
-0.0949,-0.8777,0.0951
0.0673,-0.8742,-0.2948
-0.0573,-0.8053,0.0394
-0.114,-0.7388,0.1127
-0.1252,-0.7144,-0.2201
-0.2586,-0.627,-0.1864
-0.2845,-0.5136,-0.0246
-0.2649,-0.4457,-0.0647
-0.2591,-0.3435,-0.1111
-0.1707,-0.3666,-0.1575
-0.0363,-0.5453,-0.1878
0.0341,-0.7863,-0.3422
0.038,-1.0281,-0.951
0.0532,-1.3775,-1.4533
0.1069,-1.5187,-1.0619
-0.0348,-1.0149,-0.7282
-0.0852,-0.6133,-0.7219
-0.1858,-0.6523,-0.5592
-0.3377,-1.2499,-0.0305
-0.6226,-1.5758,0.1654
-1.1655,-1.9179,-0.9422
-0.6046,-0.9148,-0.0564
-0.5654,-0.3924,0.3506
-0.3358,-0.3509,0.3633
-0.1834,-0.3988,0.1581
-0.2024,-0.7232,0.1303
-0.1775,-1.0252,0.1899
-0.1066,-1.1771,0.122
-0.1511,-1.0394,0.0413
-0.2327,-0.9231,-0.2025
-0.4008,-0.8546,-0.461
-0.4047,-0.7916,-0.4473
-0.2517,-0.7511,-0.2685
-0.2088,-0.775,-0.1135
-0.1218,-0.9289,-0.0192
-0.0578,-1.0721,0.0745
-0.0197,-1.0755,0.1449
0.0057,-0.9319,0.1239
-0.0446,-0.8156,0.0189
-0.2317,-0.9011,-0.3095
-0.3534,-0.9529,-0.5123
-0.2503,-0.9382,-0.2621
-0.1047,-0.9709,-0.0833
0.0448,-1.0662,-0.1253
0.1474,-1.0765,-0.1209
0.2149,-1.0735,-0.2113
0.1518,-1.0589,-0.414
-0.0812,-1.1136,-0.4981
-0.1941,-1.3794,-0.4228
-0.0333,-1.2499,-0.3681
0.0795,-1.2392,0.0633
-0.0695,-1.2412,0.2412
-0.4052,-1.2114,0.1718
-0.7966,-1.1791,0.0247
-1.1097,-1.2148,-0.3887
-0.6719,-1.2241,-0.2899
-0.3592,-1.0286,-0.2249
-0.1076,-0.9192,0.0677
-0.0593,-0.7428,0.1224
-0.0866,-0.713,0.1835
-0.0231,-0.7022,0.1249
0.0199,-0.7227,-0.308
-0.1125,-0.7398,-0.2689
-0.3036,-0.6367,-0.1038
-0.3861,-0.4716,-0.0418
-0.4106,-0.37,-0.1189
-0.4032,-0.2888,-0.1629
-0.2962,-0.2722,-0.2
-0.0842,-0.455,-0.2729
0.0228,-0.776,-0.4355
0.0971,-1.2436,-1.0492
0.1528,-1.6609,-1.4734
0.3136,-1.5529,-0.9902
0.1035,-0.9275,-0.7497
-0.0314,-0.5762,-0.5953
-0.3715,-0.8777,-0.1287
-0.5737,-1.2924,0.1933
