gFx,gFy,gFz
0.9712,0.0605,-0.1238
0.9751,0.0624,-0.1262
0.9751,0.0605,-0.1204
0.9703,0.061,-0.1238
0.9727,0.0615,-0.1214
0.9703,0.0615,-0.1306
0.9712,0.0581,-0.1272
0.9727,0.061,-0.1257
0.9737,0.06,-0.1253
0.9712,0.0595,-0.1248
0.9732,0.0595,-0.1248
0.9688,0.0585,-0.1223
0.9717,0.06,-0.1267
0.9712,0.0561,-0.1233
0.9746,0.06,-0.1253
0.9727,0.0624,-0.1238
0.9732,0.059,-0.1243
0.9722,0.0634,-0.1243
0.9722,0.062,-0.1238
0.9722,0.06,-0.1262
0.9771,0.0551,-0.1253
0.9712,0.0581,-0.1272
0.9742,0.061,-0.1218
0.9717,0.0585,-0.1233
0.9717,0.0556,-0.1248
0.9703,0.0571,-0.1262
0.9703,0.0634,-0.1272
0.9712,0.0629,-0.1272
0.9698,0.0624,-0.1287
0.9722,0.0605,-0.1297
0.9727,0.061,-0.1262
0.9693,0.0605,-0.1272
0.9742,0.0585,-0.1257
0.9737,0.0571,-0.1238
0.9722,0.059,-0.1292
0.9698,0.0644,-0.1282
0.9751,0.06,-0.1243
0.9737,0.0527,-0.1272
0.9751,0.0561,-0.1321
0.9746,0.0566,-0.1253
0.9751,0.0639,-0.1238
0.9722,0.061,-0.1204
0.9717,0.0581,-0.1257
0.9717,0.0585,-0.1248
0.9732,0.06,-0.1253
0.9746,0.0585,-0.1267
0.9742,0.0585,-0.1248
0.9766,0.0566,-0.1253
0.9732,0.0595,-0.1272
0.9737,0.0561,-0.1233
0.9712,0.059,-0.1272
0.9746,0.0595,-0.1262
0.9727,0.0566,-0.1277
0.9742,0.061,-0.1262
0.9742,0.059,-0.1194
0.9746,0.062,-0.1257
0.9722,0.0629,-0.1233
0.9722,0.059,-0.1262
0.9761,0.0561,-0.1228
0.9722,0.0595,-0.1257
0.9746,0.0537,-0.1253
0.9746,0.0581,-0.1262
0.9707,0.0551,-0.1243
0.9746,0.0566,-0.1272
0.9742,0.0581,-0.1223
0.9756,0.0581,-0.1248
0.9712,0.0566,-0.1297
0.9717,0.0585,-0.1214
0.9722,0.0605,-0.1194
0.9693,0.0571,-0.1238
0.9712,0.0639,-0.1257
0.9737,0.0595,-0.1218
0.9746,0.0537,-0.1209
0.9746,0.0571,-0.1209
0.9742,0.0605,-0.1257
0.9732,0.0585,-0.1262
0.9742,0.0605,-0.1243
0.9742,0.0571,-0.1277
0.9712,0.0585,-0.1287
0.979,0.0615,-0.1248
0.9751,0.0585,-0.1238
0.9717,0.0576,-0.1257
0.9693,0.062,-0.1253
0.9732,0.0629,-0.1262
0.9717,0.06,-0.1204
0.9766,0.06,-0.1238
0.9756,0.0571,-0.1238
0.9751,0.0581,-0.1238
0.9751,0.06,-0.116
0.9688,0.0644,-0.1087
0.9732,0.0615,-0.0994
0.98,0.061,-0.1067
0.9771,0.0678,-0.1361
0.9761,0.0732,-0.1527
0.9717,0.0678,-0.1507
0.9756,0.0717,-0.1473
0.9737,0.0795,-0.1727
0.9663,0.0405,-0.1717
0.98,0.0268,-0.1453
0.9727,0.0073,-0.14
0.9473,0.0209,-0.1654
0.9522,0.0097,-0.1673
0.9488,-0.0084,-0.2025
0.9917,-0.0162,-0.2411
0.9683,-0.0152,-0.2597
0.959,0.0024,-0.2519
0.9663,0.0117,-0.246
0.9751,0.0082,-0.2709
0.9468,0.0121,-0.3012
0.9146,0.0068,-0.3056
0.9038,0.0156,-0.3017
0.9112,0.0449,-0.2909
0.9424,0.0693,-0.286
0.9278,0.0703,-0.2763
0.9536,0.0439,-0.2992
0.9644,0.0253,-0.3217
0.9566,0.0361,-0.3168
0.9683,0.017,-0.2943
1.0294,-0.022,-0.3061
1.0651,-0.0407,-0.3564
1.0651,-0.0098,-0.3769
0.9639,0.0439,-0.4018
0.8623,0.0576,-0.394
0.7993,0.0385,-0.3662
0.8032,0.0273,-0.3329
0.8642,0.0107,-0.4492
0.9278,0.0972,-0.3989
1.0015,0.0629,-0.1424
0.9663,0.1738,0.2456
1.0646,0.3634,-0.2181
1.1725,0.5106,-0.5137
0.81,0.4338,-0.3808
0.8564,0.0136,-0.0906
0.851,-0.1833,-0.2181
0.678,-0.1599,-0.288
0.5207,-0.0851,-0.1444
0.6771,0.1157,-0.1859
0.9937,0.1964,-0.4522
1.1745,0.2003,-0.3339
1.2527,0.1548,-0.2953
1.0636,0.1514,-0.3358
0.9478,0.079,-0.2636
0.7826,0.079,-0.1839
0.6492,0.0908,-0.1483
0.5681,0.1089,-0.075
0.5232,0.1245,-0.0183
0.5496,0.0986,-0.008
0.6507,0.0502,-0.0339
0.7059,0.0527,-0.0628
0.9414,0.1099,-0.1228
4.2611,0.7069,-0.2973
0.6844,0.0864,-0.4004
0.1274,-0.0802,-0.1468
1.0616,-0.1901,0.4952
1.4295,0.2183,0.6209
0.7011,0.0781,0.2348
1.0133,0.0034,0.185
1.0133,0.0698,0.143
0.9453,0.0483,0.1181
1.0314,0.0004,0.0565
1.0445,-0.0377,0.0535
1.0201,0.0034,0.0018
0.9527,0.0923,-0.0794
0.9439,0.0766,-0.1023
1.0108,0.0019,-0.0979
1.0743,-0.0157,-0.0104
1.0812,0.0224,0.0291
1.1203,0.0341,-0.0197
1.2062,0.0517,-0.0916
1.283,0.0454,-0.1121
1.3172,0.0488,-0.1419
1.2018,0.1167,-0.1468
1.026,0.1182,-0.1615
0.959,0.0683,-0.1854
1.0143,-0.0358,-0.16
1.0494,-0.0685,-0.1174
1.0353,-0.0255,-0.0989
0.9795,0.0004,-0.1008
0.9175,-0.0098,-0.0691
0.8593,0.0034,-0.0413
0.7865,0.0024,-0.0647
0.7157,-0.0128,-0.1106
0.6253,-0.0353,-0.1062
0.574,-0.0421,-0.1551
0.595,-0.0656,-0.2597
0.7689,-0.0704,-0.3085
0.9351,-0.028,-0.3911
0.9908,0.0654,-0.4497
0.96,0.1099,-0.504
0.8515,0.0825,-0.5186
0.8022,0.0419,-0.522
0.8296,-0.0186,-0.5171
0.8398,-0.0343,-0.5103
0.8696,-0.0641,-0.5503
0.9004,-0.1085,-0.6041
0.9805,-0.1345,-0.629
1.0382,-0.1442,-0.5944
0.9956,-0.1462,-0.5729
