gFx,gFy,gFz
0.1552,-0.1398,-0.954
0.1562,-0.1428,-0.9574
0.1552,-0.1398,-0.9549
0.1538,-0.1364,-0.9627
0.1543,-0.1442,-0.9569
0.1513,-0.1467,-0.9569
0.1577,-0.1433,-0.9554
0.1597,-0.1467,-0.9564
0.1567,-0.1491,-0.9579
0.1528,-0.1457,-0.9623
0.1513,-0.1389,-0.9569
0.1523,-0.1413,-0.9598
0.1523,-0.1384,-0.9554
0.1513,-0.1433,-0.9574
0.1523,-0.1433,-0.9598
0.1523,-0.1433,-0.9608
0.1538,-0.1462,-0.9544
0.1523,-0.1491,-0.9564
0.1523,-0.1491,-0.9554
0.1538,-0.1428,-0.9579
0.1557,-0.1403,-0.9559
0.1543,-0.1486,-0.9559
0.1572,-0.1408,-0.953
0.1552,-0.1452,-0.9603
0.1567,-0.1467,-0.9535
0.1503,-0.1438,-0.9598
0.1513,-0.1433,-0.9574
0.1459,-0.1408,-0.9544
0.1513,-0.1433,-0.951
0.1582,-0.1477,-0.9579
0.1547,-0.1501,-0.9603
0.1572,-0.1447,-0.9583
0.1523,-0.1413,-0.9549
0.1552,-0.1442,-0.9632
0.1577,-0.1457,-0.9593
0.1621,-0.1423,-0.9574
0.1577,-0.1384,-0.954
0.1528,-0.1433,-0.9588
0.1567,-0.1491,-0.9603
0.1279,-0.1481,-0.9403
0.1758,-0.1364,-0.9828
0.1543,-0.1545,-0.9408
0.1547,-0.1501,-0.9505
0.1538,-0.1369,-0.9598
0.1562,-0.1545,-0.9613
0.1646,-0.1555,-0.9623
0.1748,-0.1545,-0.9457
0.1826,-0.1496,-0.9588
0.1714,-0.1491,-0.9613
0.1631,-0.1516,-0.952
0.1607,-0.1501,-0.9593
0.1621,-0.1486,-0.9598
0.1641,-0.1511,-0.9505
0.1704,-0.1525,-0.951
0.1602,-0.1447,-0.952
0.1636,-0.1467,-0.9598
0.1602,-0.1501,-0.9598
0.1577,-0.1486,-0.9544
0.1562,-0.1457,-0.9505
0.1602,-0.1433,-0.952
0.1586,-0.1442,-0.953
0.1646,-0.1521,-0.9569
0.1586,-0.1496,-0.9603
0.1631,-0.1472,-0.9505
0.1602,-0.1472,-0.9544
0.1616,-0.1428,-0.9544
0.1641,-0.1442,-0.9574
0.1577,-0.1438,-0.9554
0.1577,-0.1467,-0.9569
0.1547,-0.1442,-0.9544
0.1538,-0.1501,-0.9603
0.1547,-0.1496,-0.9588
0.1567,-0.1433,-0.9544
0.1543,-0.1423,-0.9593
0.1528,-0.1472,-0.9569
0.1547,-0.1433,-0.9588
0.1557,-0.1452,-0.9593
0.1572,-0.1394,-0.954
0.1552,-0.1486,-0.9544
0.1552,-0.1481,-0.9618
0.1577,-0.1511,-0.9613
0.1562,-0.1403,-0.9549
0.1616,-0.1423,-0.9535
0.1582,-0.1457,-0.9574
0.1533,-0.1433,-0.9544
0.1582,-0.1418,-0.9583
0.1538,-0.1477,-0.953
0.1567,-0.1481,-0.9564
0.1518,-0.1457,-0.9535
0.1528,-0.1457,-0.9598
0.1547,-0.1457,-0.9544
0.1499,-0.1428,-0.9579
0.1489,-0.1481,-0.9583
0.1538,-0.1403,-0.9569
0.1547,-0.1408,-0.9559
0.1528,-0.1433,-0.9579
0.1518,-0.1438,-0.9608
0.1557,-0.1423,-0.9579
0.1538,-0.1462,-0.9583
0.1513,-0.1511,-0.9564
0.1508,-0.1467,-0.9583
0.1533,-0.1447,-0.9559
0.1513,-0.1447,-0.9574
0.1557,-0.1428,-0.9564
0.1572,-0.1447,-0.9544
0.1572,-0.1452,-0.9559
0.1567,-0.1442,-0.9525
0.1513,-0.1447,-0.954
0.1518,-0.1408,-0.9608
0.1503,-0.1438,-0.9579
0.1518,-0.1442,-0.9544
0.1499,-0.1428,-0.9554
0.1499,-0.1428,-0.9583
0.1523,-0.1442,-0.9613
0.1557,-0.1452,-0.9549
0.1547,-0.1438,-0.9554
0.1513,-0.1398,-0.9554
0.1464,-0.1452,-0.9569
0.1547,-0.1486,-0.9559
0.1499,-0.1481,-0.9559
0.1547,-0.1452,-0.9535
0.1586,-0.1452,-0.9564
0.1503,-0.1428,-0.9593
0.1499,-0.1403,-0.9588
0.1513,-0.1462,-0.954
0.1543,-0.1472,-0.9559
0.1543,-0.1438,-0.9549
0.1518,-0.1442,-0.9574
0.1518,-0.1447,-0.9618
0.1479,-0.1413,-0.9554
0.1518,-0.1442,-0.9574
0.1513,-0.1389,-0.9593
0.1557,-0.1418,-0.9603
0.1518,-0.1403,-0.9583
0.1503,-0.1467,-0.9593
0.1494,-0.1447,-0.9554
0.1484,-0.1423,-0.9583
0.1523,-0.1467,-0.9588
0.1518,-0.1462,-0.9593
0.1533,-0.1413,-0.9574
0.1533,-0.1428,-0.9588
0.1528,-0.1467,-0.9569
0.1543,-0.1423,-0.9603
0.1547,-0.1433,-0.9583
0.1538,-0.1413,-0.9574
0.1552,-0.1462,-0.9564
0.1538,-0.1525,-0.9588
0.1557,-0.1467,-0.9544
0.1543,-0.1394,-0.9535
0.1464,-0.1355,-0.9627
0.1416,-0.1295,-0.9652
0.1411,-0.1355,-0.9627
0.1533,-0.1428,-0.9564
0.1567,-0.1506,-0.953
0.167,-0.1486,-0.9544
0.1641,-0.1486,-0.9559
0.1586,-0.1467,-0.9549
0.1562,-0.1501,-0.9603
0.1518,-0.1423,-0.9564
0.1577,-0.1433,-0.9544
0.1616,-0.1472,-0.9554
0.1552,-0.1413,-0.952
0.1547,-0.1423,-0.9613
0.1494,-0.1418,-0.9603
0.1503,-0.1477,-0.9554
0.1513,-0.1438,-0.9598
0.1508,-0.1462,-0.9593
0.1557,-0.1462,-0.9588
0.1646,-0.1428,-0.9544
0.1611,-0.1403,-0.9603
0.1538,-0.1433,-0.9569
0.1469,-0.1355,-0.9559
0.145,-0.1379,-0.9544
0.1538,-0.1403,-0.9559
0.1543,-0.1462,-0.954
0.1547,-0.1447,-0.9525
0.1586,-0.1506,-0.9559
0.1538,-0.1457,-0.9554
0.1508,-0.1418,-0.9549
0.1557,-0.1433,-0.9569
0.1591,-0.1472,-0.9564
0.1602,-0.1452,-0.952
0.1621,-0.1462,-0.9544
0.1591,-0.1506,-0.952
0.1607,-0.1496,-0.9554
0.1626,-0.1442,-0.9569
0.1602,-0.1433,-0.9574
0.1582,-0.1486,-0.9579
0.1557,-0.1481,-0.9559
0.1538,-0.1394,-0.9535
0.1543,-0.1472,-0.952
0.1582,-0.1467,-0.9574
0.1591,-0.1516,-0.9554
0.1572,-0.1438,-0.9525
0.1607,-0.1428,-0.9544
0.1557,-0.1413,-0.9588
0.1533,-0.1462,-0.9583
0.1582,-0.1477,-0.9608
0.1552,-0.1467,-0.9564
0.1602,-0.1452,-0.952
0.1597,-0.1457,-0.9579
0.1552,-0.1398,-0.953
0.1557,-0.1496,-0.9583
0.1582,-0.1516,-0.95
0.1602,-0.1457,-0.9559
0.1607,-0.1467,-0.9549
0.1538,-0.1501,-0.9549
0.1597,-0.1496,-0.9559
0.1597,-0.1462,-0.9588
0.1567,-0.1457,-0.9588
0.1591,-0.1462,-0.9588
0.1651,-0.1481,-0.9569
0.1586,-0.1433,-0.9588
0.1552,-0.1442,-0.9574
0.1518,-0.1428,-0.9564
0.1523,-0.1472,-0.9603
0.1518,-0.1477,-0.9574
0.1508,-0.1433,-0.9544
0.1484,-0.1438,-0.9574
0.1494,-0.1442,-0.9583
0.1552,-0.1457,-0.9574
0.1528,-0.1423,-0.9598
0.1607,-0.1433,-0.9574
0.1597,-0.1442,-0.9535
0.1602,-0.1501,-0.9559
0.1577,-0.1472,-0.9579
0.1597,-0.1481,-0.9598
0.1597,-0.1472,-0.9525
0.1577,-0.1486,-0.9525
0.1567,-0.1452,-0.9515
0.1586,-0.1472,-0.9613
0.1533,-0.1452,-0.9549
0.1538,-0.1433,-0.9574
0.1513,-0.1423,-0.9579
0.1572,-0.1457,-0.9574
0.1591,-0.1462,-0.9544
0.1572,-0.1428,-0.9564
0.1557,-0.1501,-0.9579
0.1616,-0.1486,-0.9583
0.1567,-0.1447,-0.952
0.1611,-0.1438,-0.9554
0.1557,-0.1467,-0.9618
0.1528,-0.1433,-0.9632
0.1567,-0.1433,-0.9559
0.1508,-0.1481,-0.951
0.1543,-0.1452,-0.9559
0.1552,-0.1452,-0.9618
0.1538,-0.1457,-0.9603
0.1557,-0.1452,-0.9608
0.1562,-0.1438,-0.9535
0.1533,-0.1403,-0.9569
0.1611,-0.1491,-0.9574
0.1602,-0.1447,-0.9564
0.1552,-0.1438,-0.9554
0.1543,-0.1472,-0.9564
0.1538,-0.1462,-0.9554
0.1518,-0.1511,-0.9535
0.1523,-0.1467,-0.9554
0.1523,-0.1481,-0.9549
