gFx,gFy,gFz
0.2539,-0.1765,-0.9212
0.253,-0.1804,-0.9227
0.2559,-0.1784,-0.9232
0.2539,-0.1814,-0.9261
0.2564,-0.1804,-0.9261
0.2593,-0.1809,-0.9251
0.2613,-0.1765,-0.9256
0.2583,-0.1799,-0.9251
0.2559,-0.1838,-0.9286
0.2598,-0.1838,-0.9247
0.2554,-0.1745,-0.9217
0.2603,-0.1774,-0.9247
0.2578,-0.1799,-0.9232
0.2544,-0.1789,-0.9261
0.2583,-0.1823,-0.9247
0.2569,-0.1809,-0.9247
0.2578,-0.1809,-0.9217
0.2598,-0.1814,-0.9207
0.2574,-0.1774,-0.9247
0.2564,-0.1784,-0.9207
0.2554,-0.1789,-0.9203
0.2578,-0.1828,-0.9237
0.2544,-0.1823,-0.9237
0.2608,-0.1804,-0.9315
0.2583,-0.1823,-0.9251
0.2598,-0.1818,-0.9247
0.2583,-0.1784,-0.9251
0.2564,-0.1828,-0.9266
0.2544,-0.1838,-0.9256
0.2593,-0.1818,-0.9217
0.2569,-0.1818,-0.9193
0.2598,-0.1823,-0.9232
0.2613,-0.1809,-0.9247
0.2578,-0.1804,-0.9237
0.2539,-0.1828,-0.9266
0.2554,-0.1818,-0.9242
0.2617,-0.1853,-0.9251
0.2593,-0.1794,-0.9198
0.2588,-0.1799,-0.9251
0.2554,-0.1809,-0.9261
0.2593,-0.1809,-0.9261
0.2564,-0.1814,-0.9266
0.2593,-0.1828,-0.9227
0.2603,-0.1843,-0.9222
0.2554,-0.1784,-0.9281
0.2564,-0.1799,-0.9222
0.2613,-0.177,-0.9222
0.2593,-0.1779,-0.9237
0.2534,-0.1848,-0.9251
0.2578,-0.1862,-0.9256
0.2569,-0.1862,-0.9256
0.2608,-0.1814,-0.9222
0.2603,-0.1818,-0.9222
0.2559,-0.1823,-0.9271
0.2588,-0.1804,-0.9237
0.2574,-0.1857,-0.9237
0.2574,-0.1823,-0.9217
0.2574,-0.1823,-0.9222
0.2583,-0.1838,-0.9232
0.2554,-0.1818,-0.9247
0.2554,-0.1853,-0.9271
0.2583,-0.1809,-0.9222
0.2559,-0.1823,-0.9222
0.2578,-0.1833,-0.9217
0.2613,-0.1823,-0.9266
0.2608,-0.1794,-0.9247
0.2617,-0.1843,-0.9217
0.2559,-0.1828,-0.9281
0.2554,-0.1818,-0.9261
0.2588,-0.1828,-0.9247
0.2544,-0.1794,-0.9247
0.2608,-0.1833,-0.9251
0.2603,-0.1853,-0.9237
0.2569,-0.1804,-0.9266
0.2583,-0.1848,-0.9217
0.2578,-0.1818,-0.9295
0.2583,-0.1828,-0.9261
0.2554,-0.1818,-0.9217
0.2583,-0.1833,-0.9242
0.2578,-0.1867,-0.9256
0.2583,-0.1867,-0.9251
0.2559,-0.1828,-0.9256
0.2593,-0.1838,-0.9232
0.2578,-0.1823,-0.9261
0.2608,-0.1804,-0.9247
0.2578,-0.1843,-0.9256
0.2574,-0.1843,-0.9217
0.2603,-0.1848,-0.9227
0.2588,-0.1838,-0.9232
0.2549,-0.1814,-0.9227
0.2569,-0.1843,-0.9291
0.2613,-0.1838,-0.9266
0.2544,-0.1814,-0.9237
0.2578,-0.1828,-0.9237
0.2593,-0.1814,-0.9237
0.2569,-0.1828,-0.9242
0.2608,-0.1814,-0.9232
0.2569,-0.1838,-0.9237
0.2574,-0.1828,-0.9237
0.2613,-0.1838,-0.9247
0.2588,-0.1833,-0.9266
0.2583,-0.1838,-0.9261
0.2569,-0.1794,-0.9222
0.2593,-0.1833,-0.9222
0.2617,-0.1828,-0.9222
0.2608,-0.1828,-0.9237
0.2598,-0.1857,-0.9237
0.2569,-0.1853,-0.9247
0.2598,-0.1848,-0.9207
0.2554,-0.1867,-0.9251
0.2574,-0.1833,-0.9193
0.2593,-0.1823,-0.9271
0.2578,-0.1848,-0.9237
0.2603,-0.1828,-0.9276
0.2549,-0.1799,-0.9281
0.2574,-0.1823,-0.9227
0.2549,-0.1799,-0.9261
0.2593,-0.1804,-0.9227
0.2588,-0.1862,-0.931
0.2583,-0.1853,-0.9276
0.2554,-0.1838,-0.9247
0.252,-0.1853,-0.9261
0.2564,-0.1809,-0.9242
0.2583,-0.1853,-0.9261
0.2608,-0.1857,-0.9247
0.2598,-0.1833,-0.9212
0.2588,-0.1857,-0.9217
0.2622,-0.1848,-0.9232
0.2564,-0.1799,-0.9212
0.2544,-0.1809,-0.9276
0.25,-0.1848,-0.93
0.2583,-0.1818,-0.9212
0.2539,-0.1809,-0.9237
0.2559,-0.1789,-0.9251
0.2569,-0.1892,-0.9271
0.2466,-0.1804,-0.9315
0.252,-0.1794,-0.931
0.2447,-0.1843,-0.9149
0.2662,-0.1823,-0.9105
0.2534,-0.1779,-0.9134
0.2574,-0.174,-0.9417
0.2622,-0.1941,-0.9271
0.2569,-0.1882,-0.9203
0.2534,-0.1789,-0.9251
0.2461,-0.1906,-0.9242
0.2647,-0.1789,-0.9432
