gFx,gFy,gFz
-0.0148,-0.9616,-0.0549
-0.0167,-0.9504,-0.0574
-0.0167,-0.9558,-0.0505
-0.0157,-0.9548,-0.0486
-0.0114,-0.9538,-0.0481
-0.0011,-0.9558,-0.0549
0.0052,-0.9558,-0.0525
0.0018,-0.9543,-0.053
0.0018,-0.9568,-0.0432
0.0004,-0.9626,-0.052
0.0033,-0.9612,-0.0481
0.0023,-0.9568,-0.051
0.0013,-0.9533,-0.0574
-0.004,-0.9548,-0.0613
-0.0031,-0.9494,-0.0632
-0.0011,-0.9524,-0.0667
-0.0045,-0.9646,-0.0647
-0.0143,-0.9695,-0.0554
-0.027,-0.967,-0.0452
-0.0304,-0.9489,-0.0408
-0.0206,-0.9499,-0.0374
-0.0001,-0.9519,-0.0481
0.0082,-0.9553,-0.0549
0.0145,-0.9626,-0.0676
0.0067,-0.9616,-0.0711
-0.006,-0.9504,-0.0696
-0.0035,-0.9519,-0.0701
-0.005,-0.9651,-0.0652
-0.0157,-0.9675,-0.0515
-0.0241,-0.9573,-0.0427
-0.0206,-0.9504,-0.0398
-0.0118,-0.9602,-0.0442
-0.0065,-0.9455,-0.0369
-0.0026,-0.947,-0.0354
0.0009,-0.9626,-0.0291
0.0033,-0.9573,-0.0295
0.0175,-0.9499,-0.0393
0.0219,-0.9597,-0.0505
0.0209,-0.9616,-0.0623
-0.0001,-0.9646,-0.0642
-0.0197,-0.9607,-0.0715
-0.026,-0.9543,-0.0696
-0.0162,-0.9533,-0.0696
-0.0055,-0.9563,-0.0603
0.0004,-0.9548,-0.0496
-0.0045,-0.9631,-0.0452
-0.0123,-0.9641,-0.0339
-0.0148,-0.9573,-0.0369
-0.0148,-0.9568,-0.0388
-0.0109,-0.9602,-0.0422
-0.0055,-0.9577,-0.0471
-0.007,-0.9582,-0.0496
-0.0079,-0.9524,-0.0501
-0.0099,-0.9573,-0.0544
-0.0074,-0.9602,-0.051
-0.0079,-0.9538,-0.0569
-0.0055,-0.9543,-0.0613
-0.0079,-0.9607,-0.0588
-0.0118,-0.9568,-0.0501
-0.0114,-0.9553,-0.0437
-0.0035,-0.9612,-0.0437
0.0013,-0.9577,-0.0496
0.0018,-0.9616,-0.0501
0.0048,-0.9607,-0.0471
0.0028,-0.9563,-0.0476
-0.004,-0.9582,-0.0481
-0.006,-0.9592,-0.0496
-0.0128,-0.9587,-0.0574
-0.0148,-0.9612,-0.0632
-0.0065,-0.9597,-0.0642
-0.0031,-0.9563,-0.0662
-0.0006,-0.9509,-0.0637
-0.0074,-0.9612,-0.0584
-0.0138,-0.9602,-0.0544
-0.0114,-0.9651,-0.0496
-0.0128,-0.9636,-0.0515
-0.0089,-0.9573,-0.0559
-0.0172,-0.9602,-0.0515
-0.0187,-0.9519,-0.0501
-0.0167,-0.9494,-0.051
-0.0109,-0.9607,-0.0618
-0.006,-0.9636,-0.0593
-0.0001,-0.9612,-0.0662
-0.0035,-0.9538,-0.0676
-0.0055,-0.9582,-0.0647
-0.0109,-0.9558,-0.0647
-0.0099,-0.9529,-0.0647
-0.0016,-0.9563,-0.0686
0.0028,-0.9592,-0.0686
0.0116,-0.9568,-0.0667
0.0136,-0.9509,-0.0628
0.0087,-0.9543,-0.0574
0.0062,-0.9646,-0.054
0.0067,-0.9577,-0.0486
0.0121,-0.946,-0.0618
0.0092,-0.9509,-0.0632
0.0077,-0.9543,-0.0579
0.0087,-0.9577,-0.0647
-0.0026,-0.9602,-0.0681
-0.0162,-0.9514,-0.0725
-0.0192,-0.9533,-0.0735
-0.0167,-0.9607,-0.072
-0.0104,-0.9597,-0.0764
-0.0187,-0.9597,-0.0681
-0.0167,-0.9568,-0.0584
-0.0118,-0.9538,-0.0598
-0.0045,-0.9558,-0.0574
0.0033,-0.9577,-0.0564
0.0013,-0.9612,-0.0598
0.0067,-0.9524,-0.0681
0.0082,-0.9563,-0.0754
0.0096,-0.9514,-0.0759
0.0067,-0.9548,-0.0759
0.0048,-0.9651,-0.072
0.0028,-0.9651,-0.072
-0.0011,-0.9548,-0.0681
-0.0065,-0.9553,-0.0569
-0.0074,-0.9656,-0.0496
-0.0114,-0.9558,-0.0393
-0.0148,-0.9509,-0.0457
0.0043,-0.9597,-0.0422
0.016,-0.9538,-0.0505
0.014,-0.9548,-0.0564
0.0057,-0.9577,-0.0554
-0.0006,-0.9607,-0.0623
-0.0031,-0.9587,-0.0701
-0.0084,-0.9587,-0.0735
-0.0109,-0.9612,-0.0769
-0.0118,-0.9612,-0.0711
-0.005,-0.9612,-0.0657
-0.005,-0.9592,-0.0632
-0.0128,-0.9573,-0.0579
-0.0192,-0.9582,-0.0535
-0.0148,-0.9509,-0.0593
-0.0031,-0.9573,-0.0623
0.0048,-0.9592,-0.0676
0.0072,-0.9543,-0.0706
0.0038,-0.9597,-0.074
0.0009,-0.9621,-0.0637
-0.0055,-0.9597,-0.0628
-0.0055,-0.9519,-0.0501
-0.0035,-0.9563,-0.051
-0.0011,-0.9548,-0.0525
-0.0031,-0.9573,-0.0544
-0.0079,-0.9612,-0.0584
-0.0089,-0.9558,-0.0598
-0.005,-0.9538,-0.0618
0.0018,-0.9577,-0.0652
0.0038,-0.9616,-0.0637
-0.0001,-0.9641,-0.0676
-0.0045,-0.9631,-0.0642
-0.0104,-0.9597,-0.0676
-0.0201,-0.9592,-0.0671
-0.0275,-0.9607,-0.0701
-0.0226,-0.9646,-0.0676
-0.0128,-0.9504,-0.0696
-0.0128,-0.946,-0.0613
-0.0182,-0.9646,-0.0525
-0.0065,-0.9612,-0.0349
0.0048,-0.9529,-0.0437
0.0106,-0.9573,-0.054
0.0111,-0.9597,-0.0637
0.0087,-0.9612,-0.073
0.0043,-0.9573,-0.0828
-0.0035,-0.9558,-0.0847
-0.0065,-0.9553,-0.0735
-0.0133,-0.9568,-0.0696
-0.0211,-0.9612,-0.0662
-0.0236,-0.9582,-0.0593
-0.0265,-0.9568,-0.0642
-0.0216,-0.9616,-0.0637
-0.0157,-0.9607,-0.0706
-0.0104,-0.9621,-0.0784
-0.005,-0.9548,-0.0798
-0.0016,-0.9558,-0.0823
0.0013,-0.9543,-0.0798
-0.0001,-0.9573,-0.0803
-0.0006,-0.9538,-0.0759
0.0009,-0.9548,-0.0774
0.0018,-0.9602,-0.0818
-0.0001,-0.9602,-0.0916
0.0009,-0.9631,-0.1008
-0.0021,-0.9636,-0.0964
-0.007,-0.9577,-0.0999
-0.0099,-0.9465,-0.0862
-0.0153,-0.9485,-0.0837
-0.0157,-0.9514,-0.0833
-0.0167,-0.9494,-0.0857
0.0048,-0.9499,-0.0872
0.0214,-0.9499,-0.0974
0.0297,-0.9489,-0.0999
0.0272,-0.9548,-0.0921
0.0194,-0.9616,-0.0813
0.0204,-0.9553,-0.0794
0.0233,-0.9548,-0.0886
0.0233,-0.9538,-0.095
0.0082,-0.9538,-0.0994
-0.0079,-0.9455,-0.1008
-0.0079,-0.9494,-0.1028
0.0057,-0.9577,-0.1101
0.0096,-0.9543,-0.1057
0.0087,-0.9446,-0.1028
-0.0035,-0.9543,-0.0877
-0.0026,-0.9514,-0.0837
0.0077,-0.9543,-0.0872
0.0209,-0.9597,-0.0994
0.0214,-0.9573,-0.1067
0.0004,-0.9573,-0.1126
-0.0172,-0.9533,-0.1082
-0.0143,-0.9504,-0.1067
-0.0021,-0.9489,-0.1008
0.0038,-0.9524,-0.0925
-0.0026,-0.9553,-0.0823
-0.0026,-0.9553,-0.0813
0.0004,-0.9553,-0.0769
0.0038,-0.9553,-0.0798
0.0038,-0.9538,-0.0823
-0.0079,-0.9563,-0.0955
-0.0167,-0.9533,-0.1052
-0.0128,-0.9582,-0.0955
-0.0094,-0.9558,-0.095
-0.0074,-0.9592,-0.0916
-0.0021,-0.9592,-0.0877
-0.0006,-0.9553,-0.0935
0.0009,-0.9577,-0.0891
0.0077,-0.9587,-0.0955
0.0043,-0.9524,-0.1052
0.0121,-0.9504,-0.1082
0.0189,-0.9543,-0.1126
0.0111,-0.9573,-0.116
0.0072,-0.9582,-0.1096
0.0023,-0.9514,-0.1018
0.0013,-0.9485,-0.0925
0.0106,-0.9489,-0.0921
0.0155,-0.9558,-0.0881
0.0096,-0.9621,-0.0911
-0.0026,-0.9504,-0.0974
-0.0157,-0.945,-0.1013
-0.0123,-0.946,-0.1082
0.0048,-0.9509,-0.1057
0.0189,-0.9616,-0.1052
0.0175,-0.9621,-0.0974
0.0033,-0.9553,-0.0974
-0.0021,-0.9509,-0.0999
0.0028,-0.9509,-0.1047
0.0077,-0.9568,-0.1052
0.0043,-0.9577,-0.1013
-0.0021,-0.9582,-0.0955
-0.005,-0.9514,-0.0935
0.0018,-0.9509,-0.0999
0.0096,-0.9582,-0.1004
0.0028,-0.9602,-0.0964
-0.0079,-0.9568,-0.0901
-0.0031,-0.9519,-0.0877
0.0077,-0.9519,-0.095
0.0126,-0.9514,-0.0994
0.0057,-0.9573,-0.1028
-0.0006,-0.9592,-0.0979
-0.0079,-0.9519,-0.095
0.0013,-0.9509,-0.0964
0.0136,-0.9553,-0.093
0.0106,-0.9548,-0.0974
0.0043,-0.9568,-0.096
-0.0011,-0.9538,-0.1023
0.0033,-0.9529,-0.0994
0.0028,-0.9592,-0.0984
0.0033,-0.9568,-0.1004
0.0043,-0.9524,-0.1038
-0.0045,-0.9494,-0.1062
0.0023,-0.946,-0.0984
0.0072,-0.9612,-0.0916
0.015,-0.9621,-0.0911
0.017,-0.9597,-0.096
0.0092,-0.9602,-0.0969
0.0111,-0.9538,-0.0994
0.0082,-0.9597,-0.1057
0.0043,-0.9543,-0.1023
-0.0006,-0.9465,-0.1038
0.0052,-0.9524,-0.1033
0.0043,-0.9577,-0.0935
0.0077,-0.9577,-0.0964
0.0131,-0.9563,-0.0979
0.0116,-0.9563,-0.0935
0.0106,-0.9558,-0.093
0.0033,-0.9529,-0.0984
0.0013,-0.9533,-0.0969
0.0018,-0.9489,-0.1013
0.0052,-0.9509,-0.1116
0.0018,-0.947,-0.1101
-0.0011,-0.9519,-0.1013
-0.0006,-0.9533,-0.0989
0.0052,-0.9548,-0.095
0.0096,-0.9558,-0.0921
0.0101,-0.9568,-0.0906
0.0018,-0.9553,-0.0964
0.0009,-0.9494,-0.0999
0.0048,-0.9538,-0.1028
0.0067,-0.9538,-0.1091
0.0116,-0.9558,-0.1111
0.0106,-0.9612,-0.1072
0.0082,-0.9514,-0.096
0.0165,-0.9504,-0.1043
0.0145,-0.9563,-0.0955
0.0165,-0.9587,-0.094
0.0165,-0.9529,-0.096
0.0136,-0.9499,-0.0999
0.0175,-0.9553,-0.1038
0.0219,-0.9548,-0.0989
0.014,-0.9519,-0.0925
0.0067,-0.9514,-0.0964
0.0067,-0.9509,-0.0999
0.0277,-0.9509,-0.1101
0.036,-0.9509,-0.1184
0.0414,-0.9455,-0.113
0.0389,-0.9446,-0.1033
0.0336,-0.9509,-0.0999
0.0292,-0.9758,-0.0964
0.0287,-0.9704,-0.1052
0.0399,-0.9548,-0.1121
0.0561,-0.945,-0.113
0.06,-0.946,-0.113
0.0468,-0.9533,-0.1209
0.0389,-0.9675,-0.1356
0.0243,-0.9568,-0.1473
0.0155,-0.9406,-0.1429
0.0082,-0.9289,-0.1253
0.0126,-0.9377,-0.1082
0.0209,-0.946,-0.0955
0.0316,-0.9543,-0.0945
0.0521,-0.9607,-0.1091
0.0644,-0.9504,-0.1228
0.0722,-0.9455,-0.1356
0.0673,-0.9499,-0.137
0.0673,-0.969,-0.1414
0.0576,-0.9739,-0.14
0.0581,-0.9641,-0.1468
0.0712,-0.9387,-0.1444
0.0722,-0.9153,-0.1199
0.0512,-0.9157,-0.0828
0.0507,-0.947,-0.0652
0.0576,-0.9641,-0.0789
0.0659,-0.9612,-0.0989
0.06,-0.9582,-0.1087
0.035,-0.9489,-0.096
0.0077,-0.948,-0.0999
-0.0074,-0.9377,-0.1067
-0.0074,-0.9431,-0.1028
0.0209,-0.9353,-0.0916
0.0551,-0.9436,-0.074
0.0707,-0.9524,-0.0632
0.0795,-0.9533,-0.0691
0.079,-0.9616,-0.0877
0.0556,-0.9636,-0.1101
0.0448,-0.945,-0.1199
0.0331,-0.945,-0.1199
0.0414,-0.9465,-0.1067
0.0566,-0.948,-0.1028
0.0585,-0.9504,-0.1087
0.0644,-0.9524,-0.1116
0.0693,-0.9494,-0.1096
0.0668,-0.9558,-0.0964
0.0497,-0.9587,-0.0896
0.0477,-0.947,-0.0916
0.0443,-0.9431,-0.0984
0.0448,-0.9529,-0.0974
0.0448,-0.9455,-0.0964
0.059,-0.9494,-0.1091
0.0717,-0.946,-0.1013
0.0771,-0.9514,-0.1008
0.0849,-0.9651,-0.093
0.0874,-0.9626,-0.0989
0.0864,-0.9494,-0.1052
0.0751,-0.9426,-0.1067
0.0668,-0.9514,-0.1033
