gFx,gFy,gFz
0.1577,-1.9262,-1.4904
0.2887,-1.2724,-0.7981
0.0516,-0.6656,-0.8499
-0.2664,-1.1732,-0.0212
-0.5669,-1.6115,0.2758
-0.8615,-1.9149,-0.394
-0.499,-0.9573,-0.0036
-0.4662,-0.5253,0.4225
-0.37,-0.4731,0.3936
-0.3709,-0.6749,0.3189
-0.3075,-0.8962,0.2758
-0.2215,-0.9499,0.293
-0.2879,-0.9187,0.2119
-0.393,-0.7301,0.316
-0.4018,-0.6377,-0.1502
-0.3563,-0.7266,-0.6862
-0.3177,-0.8752,-1.0146
-0.0798,-0.966,-0.6393
-0.0138,-1.0018,-0.1585
-0.0148,-0.9499,0.1806
-0.0123,-0.9817,0.1962
-0.0348,-0.9969,0.0971
-0.0627,-0.8732,0.0829
-0.1707,-0.7296,0.0589
-0.4242,-0.8478,-0.1849
-0.3348,-1.0047,-0.6647
0.0004,-1.0687,-0.4541
0.2588,-1.1595,0.033
0.384,-1.2578,0.0115
0.5066,-1.2651,-0.5118
0.3014,-1.4029,-0.6916
0.0664,-1.505,-0.3261
0.0922,-1.2441,-0.222
0.0717,-1.1786,-0.1047
-0.2728,-1.247,0.1381
-0.5547,-1.3584,0.2895
-0.8425,-1.4449,0.2221
-1.0897,-1.5524,-0.7229
-0.563,-1.1987,-0.4668
-0.2273,-0.928,-0.2269
-0.048,-0.7452,0.0428
-0.0211,-0.6837,0.3672
0.0184,-0.6641,0.5153
0.0204,-0.6436,0.2358
0.1088,-0.6993,-0.3256
0.0223,-0.6749,-0.1419
-0.1262,-0.5541,-0.0603
-0.2928,-0.3318,-0.032
-0.372,-0.1726,0.0071
-0.3421,-0.1242,-0.0388
-0.1736,-0.2072,-0.1351
-0.0211,-0.6191,-0.4233
-0.0182,-1.2036,-1.2354
-0.1614,-1.7009,-2.0802
0.2027,-1.9315,-1.0766
0.0903,-0.9978,-0.7898
-0.1179,-0.4653,-0.7482
-0.3192,-0.9851,-0.1282
-0.4824,-1.4962,0.4044
-0.6314,-1.8192,-0.1336
-0.3959,-1.2661,-0.0281
-0.4428,-0.5341,0.3653
-0.4443,-0.5004,0.4527
-0.4272,-0.5835,0.3096
-0.3368,-0.8561,0.2607
-0.2356,-0.9817,0.2319
-0.2571,-0.9734,0.1703
-0.3607,-0.7951,-0.0007
-0.3314,-0.7305,-0.3887
-0.2244,-0.7995,-0.8084
-0.153,-0.8678,-0.7697
-0.0094,-0.8938,-0.2113
0.0228,-0.9011,0.075
0.036,-0.9343,0.1601
0.035,-0.9328,0.1356
-0.0016,-0.9001,0.1146
-0.1296,-0.8796,0.0018
-0.2738,-0.9651,-0.3564
-0.3974,-1.076,-0.5274
-0.2527,-1.0252,-0.4595
0.0512,-1.0647,-0.31
