gFx,gFy,gFz
0.2984,-0.3578,-0.4966
0.1782,-0.391,-0.632
0.6717,-1.0956,-0.9745
-0.7956,-1.2949,0.0701
-0.9324,-1.8177,-0.6765
-0.5308,-1.7474,0.1337
-0.0319,-1.0809,-0.4532
0.0654,-0.9065,-0.5328
-0.1848,-0.9113,-0.1018
-0.2791,-0.9504,-0.0266
-0.3119,-0.9641,-0.2636
-0.284,-1.0188,-0.3105
-0.2327,-1.142,-0.267
-0.2166,-1.056,-0.3036
-0.1467,-0.9328,-0.2421
-0.1403,-0.7858,-0.2059
-0.1291,-0.6656,-0.1546
-0.1775,-0.5493,-0.2108
-0.3285,-0.4775,-0.2582
-0.3573,-0.6074,-0.3105
-0.4643,-0.7398,-0.3358
-0.456,-0.7652,-0.2841
-0.2044,-0.7022,-0.2514
-0.006,-0.7213,-0.1341
0.0448,-0.8943,0.0863
0.0043,-1.0936,0.1757
-0.132,-1.206,0.0888
-0.3504,-1.1244,-0.2396
-0.4423,-1.1127,-0.459
-0.3519,-1.1713,-0.4581
-0.2938,-1.2363,-0.4233
-0.1389,-1.5514,-0.3222
-0.0861,-1.5856,-0.2572
-0.3197,-1.333,-0.3789
-0.4399,-1.1483,-0.8606
-0.325,-1.227,-0.697
-0.261,-1.3145,-0.4233
-0.2639,-1.3135,-0.1155
-0.4394,-1.1508,0.1415
-0.5933,-1.0604,0.2627
-0.5659,-1.0506,0.1513
-0.4897,-1.0833,-0.2416
-0.2644,-1.097,-1.0864
-0.3202,-1.0208,-0.7805
-0.221,-0.8512,-0.032
-0.0812,-0.6646,0.3755
0.0512,-0.6749,-0.0256
-0.0808,-0.6734,-0.289
-0.3319,-0.4897,-0.0491
-0.4721,-0.3181,0.0052
-0.3275,-0.198,0.0032
-0.1364,-0.0397,-0.0134
0.0321,0.0468,-0.1214
0.2246,-0.0328,-0.355
0.339,-0.2879,-0.6285
0.3243,-0.5253,-0.7932
0.0991,-0.6563,-1.8765
0.082,-1.3506,-1.0702
-1.0633,-1.0667,1.4192
