gFx,gFy,gFz
0.0394,-0.9499,-0.1253
0.0267,-0.9558,-0.1204
0.0038,-0.9563,-0.1248
-0.0021,-0.945,-0.1356
0.0028,-0.9455,-0.1351
0.0145,-0.9489,-0.1311
0.0248,-0.9509,-0.1184
0.0272,-0.9538,-0.1238
0.0262,-0.947,-0.1361
0.0179,-0.947,-0.1223
0.0131,-0.9509,-0.1184
0.0228,-0.946,-0.1257
0.035,-0.945,-0.1218
0.0316,-0.9441,-0.1277
0.0189,-0.9465,-0.1233
0.017,-0.9533,-0.1199
0.0092,-0.9543,-0.1243
0.0082,-0.9509,-0.1257
0.0052,-0.9465,-0.1257
0.0126,-0.9494,-0.1316
0.0326,-0.9519,-0.1331
0.0262,-0.9533,-0.1223
0.0072,-0.9485,-0.1096
-0.0001,-0.9538,-0.1126
0.0238,-0.9533,-0.1336
0.0341,-0.9529,-0.1405
0.0199,-0.9485,-0.115
0.0096,-0.9475,-0.1038
0.0062,-0.9519,-0.1101
0.0175,-0.948,-0.1189
0.0136,-0.9514,-0.1321
0.0179,-0.9489,-0.1282
0.0262,-0.9416,-0.1253
0.0355,-0.9519,-0.1106
0.0385,-0.9524,-0.1077
0.0287,-0.9524,-0.1218
0.0204,-0.9548,-0.1199
0.0077,-0.9514,-0.1145
0.0087,-0.946,-0.1174
0.0155,-0.9543,-0.1233
0.0238,-0.9485,-0.1179
0.0248,-0.9533,-0.114
0.0204,-0.9597,-0.1101
0.0131,-0.9509,-0.1116
0.0131,-0.9436,-0.1057
0.0101,-0.9436,-0.1106
0.0043,-0.9533,-0.1096
0.0145,-0.9553,-0.1199
0.0189,-0.9558,-0.1106
0.0233,-0.9514,-0.1106
0.0126,-0.946,-0.1121
0.0048,-0.9494,-0.1116
0.0062,-0.9538,-0.1223
0.0175,-0.9577,-0.1253
0.0223,-0.9538,-0.1238
0.0297,-0.9509,-0.115
0.0311,-0.9489,-0.1047
0.0214,-0.9504,-0.1038
0.0145,-0.9538,-0.1155
0.0165,-0.9504,-0.1253
0.0219,-0.947,-0.1135
0.0267,-0.9494,-0.115
0.0189,-0.9514,-0.1126
0.014,-0.9499,-0.1038
0.0116,-0.9529,-0.1126
0.0243,-0.947,-0.117
0.0292,-0.946,-0.1101
0.0175,-0.9533,-0.1111
0.0131,-0.9553,-0.1062
0.016,-0.9538,-0.1091
0.0116,-0.9509,-0.1111
0.0067,-0.9553,-0.1121
-0.0026,-0.9548,-0.1023
0.0023,-0.9519,-0.1008
-0.004,-0.9568,-0.1126
0.0033,-0.9509,-0.1179
0.0057,-0.9543,-0.115
-0.0006,-0.9597,-0.0969
0.0023,-0.9494,-0.094
0.0072,-0.9441,-0.0945
0.0131,-0.9538,-0.1008
0.0121,-0.9548,-0.1204
0.0121,-0.9543,-0.1233
0.0165,-0.9533,-0.116
0.0126,-0.9504,-0.0964
-0.0021,-0.9455,-0.0925
-0.0079,-0.9563,-0.1047
-0.0031,-0.9563,-0.1204
0.0028,-0.947,-0.1204
0.016,-0.9509,-0.115
0.0194,-0.9563,-0.1087
0.0165,-0.9509,-0.1184
0.017,-0.9524,-0.1106
0.0067,-0.9543,-0.1067
0.0057,-0.9587,-0.1155
0.0077,-0.9548,-0.1238
0.0067,-0.9524,-0.1091
0.0087,-0.9533,-0.1062
0.014,-0.9533,-0.1077
0.0009,-0.9504,-0.1028
0.0028,-0.9548,-0.0994
0.014,-0.9558,-0.1038
0.0204,-0.9553,-0.1018
0.0116,-0.9563,-0.1033
0.0009,-0.9529,-0.1033
-0.0065,-0.9543,-0.0994
0.0018,-0.9558,-0.1047
0.0072,-0.9465,-0.1174
0.0277,-0.9514,-0.1184
0.0336,-0.9553,-0.093
0.0233,-0.948,-0.0833
0.0096,-0.9592,-0.1013
